emp_id,age,department,job_role,education_field,monthly_income,total_working_years,years_at_company,overtime,job_satisfaction,work_life_balance,distance_from_home,marital_status,attrition
E10039,37,R&D,Representative,Engineering,7604,12.0,10,Yes,1,3,18.0,Married,Yes
E10040,36,Sales,Technician,Other,5626,,4,Yes,3,3,13.0,Married,No
E10041,32,R&D,Technician,Engineering,4772,4.0,1,No,1,3,20.0,Single,No
E10042,48,Sales,Specialist,Engineering,8063,6.0,1,No,1,4,16.0,Single,Yes
E10043,24,HR,Technician,Marketing,55108,5.0,5,No,1,3,27.0,Married,No
E10044,58,Sales,Technician,Medical,9078,8.0,2,Yes,3,4,23.0,Married,No
E10045,45,R&D,Technician,Marketing,6418,4.0,1,No,4,3,14.0,Married,No
E10046,21,Sales,Executive,Engineering,11097,12.0,2,No,3,4,12.0,Single,No
E10047,35,R&D,Executive,Engineering,11180,3.0,3,Yes,4,4,13.0,Married,No
E10048,35,R&D,Specialist,Medical,6593,5.0,0,No,1,3,27.0,Married,No
E10049,41,Sales,Executive,Other,10598,9.0,3,No,1,1,13.0,Married,Yes
E10050,28,HR,Specialist,Technical Degree,7817,8.0,3,Yes,3,4,16.0,Divorced,No
E10051,37,R&D,Representative,Life Sciences,6505,,2,No,3,4,1.0,Married,No
E10052,36,HR,Specialist,Technical Degree,6903,3.0,3,No,2,1,24.0,Single,No
E10053,30,HR,Manager,Life Sciences,8482,7.0,6,No,3,4,12.0,Divorced,No
E10054,29,R&D,Specialist,Marketing,8958,14.0,9,No,3,2,9.0,Married,No
E10055,45,HR,Technician,Life Sciences,5670,11.0,11,No,1,2,13.0,Married,No
E10056,22,Sales,Specialist,Life Sciences,6980,6.0,6,Yes,1,1,13.0,Single,Yes
E10057,41,Sales,Specialist,Medical,7924,7.0,7,Yes,1,1,8.0,Married,Yes
E10058,44,Sales,Technician,Marketing,5932,8.0,3,No,3,3,18.0,Single,No
E10059,35,Sales,Specialist,Life Sciences,9791,16.0,4,No,2,4,24.0,Married,No
E10060,37,Sales,Representative,Engineering,5439,5.0,4,No,1,2,24.0,Single,No
E10061,47,Sales,Representative,Engineering,6124,11.0,2,No,2,1,18.0,Single,No
E10062,31,R&D,Executive,Marketing,8961,8.0,5,No,2,3,27.0,Single,No
E10063,32,Sales,Specialist,Engineering,10985,14.0,1,No,3,1,9.0,Single,No
E10064,33,Sales,Technician,Engineering,6857,,3,No,3,2,1.0,Single,No
E10065,47,R&D,Manager,Marketing,8453,8.0,8,No,1,1,7.0,Married,No
E10066,49,Sales,Executive,Medical,10196,5.0,5,No,4,1,13.0,Single,No
E10067,24,R&D,Specialist,Medical,8911,14.0,11,No,3,4,15.0,Married,No
E10068,46,Sales,Representative,Life Sciences,5106,7.0,5,No,2,2,2.0,Single,No
E10069,44,HR,Manager,Technical Degree,9413,2.0,2,No,3,4,24.0,Divorced,No
E10070,51,R&D,Technician,Other,6510,2.0,2,No,3,1,8.0,Divorced,No
E10071,40,Sales,Technician,Technical Degree,5928,7.0,4,Yes,2,2,20.0,Single,Yes
E10072,37,Sales,Executive,Marketing,9578,1.0,1,No,3,3,24.0,Married,No
E10073,47,R&D,Manager,Life Sciences,9709,5.0,1,No,3,4,5.0,Single,No
E10074,43,R&D,Representative,Other,7275,14.0,2,No,1,4,9.0,Divorced,No
E10075,57,R&D,Executive,Engineering,11189,16.0,7,No,2,3,17.0,Married,No
E10076,46,R&D,Technician,Engineering,5291,14.0,11,Yes,4,1,29.0,Single,Yes
E10077,38,Sales,Specialist,Life Sciences,8496,7.0,7,No,4,3,21.0,Married,No
E10078,26,Sales,Executive,Engineering,10782,4.0,2,No,4,2,14.0,Single,No
E10079,32,Sales,Specialist,Other,8547,15.0,5,No,3,4,29.0,Married,No
E10080,24,HR,Manager,Marketing,8500,8.0,3,No,2,2,9.0,Married,No
E10081,35,R&D,Manager,Marketing,9800,2.0,2,No,4,1,15.0,Married,No
E10082,45,Sales,Representative,Marketing,7105,8.0,3,Yes,3,3,22.0,Married,Yes
E10083,37,Sales,Specialist,Life Sciences,8345,14.0,8,No,4,2,20.0,Single,No
E10084,46,Sales,Specialist,Engineering,6733,1.0,1,Yes,1,4,1.0,Single,Yes
E10085,40,Sales,Executive,Marketing,11265,6.0,6,No,3,2,13.0,Single,No
E10086,33,R&D,Technician,Medical,7466,17.0,5,Yes,4,4,10.0,Divorced,Yes
E10087,38,R&D,Manager,Life Sciences,8945,7.0,7,Yes,3,1,12.0,Single,No
E10088,41,HR,Technician,Medical,4365,3.0,1,No,2,3,14.0,Married,No
E10089,38,R&D,Manager,Engineering,10418,,3,No,3,2,6.0,Married,No
E10090,38,Sales,Manager,Engineering,9818,11.0,10,No,2,1,11.0,Single,No
E10091,30,R&D,Manager,Engineering,9994,8.0,2,No,4,1,23.0,Married,No
E10092,33,R&D,Representative,Life Sciences,6681,,3,No,1,2,7.0,Married,Yes
E10093,57,R&D,Manager,Technical Degree,9162,9.0,5,No,4,2,25.0,Married,No
E10094,48,R&D,Manager,Technical Degree,10677,11.0,4,No,4,4,20.0,Married,No
E10095,24,R&D,Specialist,Life Sciences,5167,2.0,2,No,2,1,4.0,Married,Yes
E10096,20,R&D,Representative,Marketing,6753,9.0,2,No,4,3,21.0,Single,No
E10097,38,R&D,Specialist,Medical,6472,6.0,6,No,3,1,12.0,Married,No
E10098,45,Sales,Specialist,Engineering,6439,2.0,2,No,2,3,25.0,Married,No
E10099,32,Sales,Manager,Engineering,8658,6.0,6,Yes,1,2,2.0,Single,Yes
E10100,46,Sales,Specialist,Other,7731,5.0,5,No,3,4,20.0,Married,No
E10101,38,R&D,Technician,Marketing,6447,7.0,5,Yes,1,4,14.0,Single,Yes
E10102,36,Sales,Technician,Other,6421,5.0,3,No,4,2,9.0,Single,No
E10103,44,R&D,Specialist,Life Sciences,8170,2.0,2,No,1,4,22.0,Married,No
E10104,32,HR,Specialist,Medical,8238,17.0,1,No,4,2,14.0,Divorced,No
E10105,34,Sales,Manager,Engineering,11521,30.0,10,Yes,3,4,6.0,Divorced,No
E10106,43,R&D,Specialist,Engineering,6546,5.0,4,No,3,1,23.0,Single,No
E10107,37,R&D,Manager,Life Sciences,9583,7.0,7,No,2,4,5.0,Married,No
E10108,54,Sales,Technician,Life Sciences,9416,30.0,2,No,3,3,20.0,Married,No
E10109,43,Sales,Representative,Engineering,4205,3.0,2,No,4,1,27.0,Single,Yes
E10110,43,Sales,Representative,Engineering,6339,5.0,3,No,2,4,19.0,Married,No
E10111,37,Sales,Representative,Engineering,5723,10.0,4,No,4,1,18.0,Married,No
E10112,45,HR,Technician,Medical,8012,9.0,1,No,1,1,7.0,Divorced,No
E10113,34,R&D,Technician,Life Sciences,6755,14.0,1,No,2,3,21.0,Single,No
E10114,40,R&D,Specialist,Engineering,7051,11.0,2,No,4,3,1.0,Single,No
E10115,29,HR,Technician,Engineering,7478,18.0,5,No,4,2,20.0,Divorced,No
E10116,46,R&D,Executive,Engineering,12404,9.0,6,No,3,1,9.0,Married,No
E10117,40,Sales,Executive,Marketing,10820,2.0,2,No,2,4,8.0,Divorced,No
E10118,55,HR,Technician,Engineering,7582,5.0,5,Yes,4,3,11.0,Single,Yes
E10119,59,R&D,Specialist,Medical,8132,13.0,1,No,3,1,7.0,Married,No
E10120,44,R&D,Specialist,Engineering,8117,6.0,5,No,1,2,21.0,Married,No
E10121,38,HR,Representative,Engineering,7124,9.0,5,No,2,2,,Single,No
E10122,28,Sales,Manager,Technical Degree,9735,9.0,9,No,2,1,28.0,Married,No
E10123,45,Sales,Executive,Medical,11808,4.0,4,No,2,2,21.0,Married,No
E10124,39,Sales,Representative,Engineering,5666,5.0,4,No,2,4,15.0,Single,No
E10125,42,R&D,Technician,Technical Degree,7460,8.0,3,Yes,4,4,8.0,Single,No
E10126,53,R&D,Technician,Life Sciences,7857,12.0,2,No,1,4,20.0,Married,No
E10127,30,HR,Specialist,Technical Degree,6488,3.0,3,Yes,3,4,12.0,Married,Yes
E10128,29,Sales,Specialist,Marketing,7002,8.0,6,No,4,3,5.0,Divorced,No
E10129,35,R&D,Representative,Medical,7302,16.0,5,No,4,4,8.0,Married,No
E10130,44,R&D,Technician,Other,6018,7.0,2,No,2,3,5.0,Single,No
E10131,42,Sales,Executive,Engineering,11664,10.0,2,Yes,4,3,14.0,Divorced,No
E10132,29,Sales,Manager,Marketing,10552,18.0,7,No,1,3,4.0,Divorced,No
E10133,44,Sales,Manager,Life Sciences,8999,8.0,6,No,4,2,27.0,Single,No
E10134,26,HR,Representative,Engineering,6676,18.0,2,Yes,4,3,15.0,Married,No
E10135,29,Sales,Specialist,Engineering,6639,6.0,6,Yes,3,2,20.0,Single,Yes
E10136,36,R&D,Technician,Engineering,7323,15.0,4,Yes,4,4,29.0,Single,No
E10137,32,R&D,Manager,Marketing,9721,9.0,4,Yes,1,2,22.0,Single,Yes
E10138,45,Sales,Technician,Marketing,6397,9.0,1,No,2,1,10.0,Single,No
E10139,40,HR,Representative,Marketing,6065,10.0,5,No,2,2,17.0,Divorced,No
E10140,53,HR,Technician,Engineering,5631,,2,No,1,1,4.0,Married,Yes
E10141,35,Sales,Manager,Life Sciences,10318,9.0,4,Yes,2,2,1.0,Divorced,Yes
E10142,36,R&D,Technician,Other,7481,22.0,6,No,2,3,28.0,Married,No
E10143,48,Sales,Technician,Life Sciences,7741,10.0,2,No,4,1,6.0,Married,No
E10144,36,Sales,Specialist,Marketing,6694,15.0,2,No,1,2,8.0,Married,Yes
E10145,50,Sales,Representative,Medical,53833,4.0,1,No,3,4,4.0,Divorced,No
E10146,42,R&D,Technician,Medical,5415,2.0,2,No,4,2,24.0,Married,No
E10147,20,R&D,Representative,Life Sciences,5863,2.0,2,Yes,1,1,14.0,Married,Yes
E10148,48,Sales,Technician,Technical Degree,7117,3.0,3,No,4,4,2.0,Divorced,No
E10149,45,Sales,Manager,Life Sciences,13106,18.0,5,No,1,1,5.0,Single,Yes
E10150,46,HR,Specialist,Technical Degree,7978,2.0,2,Yes,2,3,15.0,Married,Yes
E10151,20,Sales,Specialist,Engineering,6242,7.0,6,Yes,3,3,19.0,Divorced,No
E10152,31,Sales,Representative,Engineering,8595,25.0,2,Yes,4,2,14.0,Divorced,No
E10153,32,R&D,Technician,Engineering,6810,12.0,2,No,2,2,7.0,Single,No
E10154,29,HR,Technician,Medical,5026,5.0,3,Yes,1,2,29.0,Married,Yes
E10155,53,Sales,Specialist,Life Sciences,8399,4.0,4,Yes,4,2,9.0,Married,No
E10156,37,R&D,Specialist,Engineering,7399,6.0,5,No,3,1,1.0,Single,No
E10157,37,R&D,Technician,Engineering,8729,9.0,4,No,3,1,24.0,Married,No
E10158,42,Sales,Executive,Technical Degree,11359,6.0,3,Yes,4,2,20.0,Single,No
E10159,42,R&D,Specialist,Technical Degree,8005,12.0,6,No,2,2,29.0,Married,No
E10160,20,Sales,Technician,Marketing,5455,21.0,5,No,3,3,10.0,Married,No
E10161,31,R&D,Manager,Marketing,7069,4.0,4,No,4,2,11.0,Married,No
E10162,24,R&D,Specialist,Life Sciences,8498,22.0,0,No,4,3,21.0,Married,No
E10163,41,R&D,Executive,Life Sciences,11843,8.0,8,No,4,3,12.0,Married,No
E10164,34,Sales,Manager,Technical Degree,10213,6.0,6,No,1,2,1.0,Single,No
E10165,37,R&D,Representative,Engineering,6255,4.0,4,Yes,3,1,21.0,Single,Yes
E10166,20,Sales,Specialist,Life Sciences,5681,11.0,3,No,4,3,25.0,Single,No
E10167,34,Sales,Manager,Life Sciences,8517,5.0,0,No,1,3,8.0,Single,Yes
E10168,47,Sales,Specialist,Life Sciences,7465,11.0,5,No,1,2,24.0,Married,No
E10169,50,R&D,Technician,Life Sciences,7433,,5,No,1,1,6.0,Married,No
E10170,43,R&D,Specialist,Life Sciences,7096,5.0,5,No,2,4,12.0,Single,No
E10171,25,Sales,Technician,Engineering,6912,7.0,2,Yes,2,3,9.0,Single,Yes
E10172,48,R&D,Manager,Life Sciences,10182,10.0,3,Yes,4,2,4.0,Married,No
E10173,44,Sales,Manager,Engineering,9366,7.0,6,Yes,2,1,6.0,Single,Yes
E10174,36,R&D,Specialist,Engineering,7043,5.0,5,No,3,1,3.0,Divorced,No
E10175,20,Sales,Representative,Engineering,3632,4.0,4,Yes,3,1,2.0,Married,Yes
E10176,46,R&D,Representative,Medical,6153,12.0,4,No,4,3,25.0,Single,No
E10177,32,Sales,Manager,Life Sciences,9285,3.0,1,Yes,4,4,21.0,Single,No
E10178,40,HR,Technician,Marketing,5763,4.0,4,No,3,1,27.0,Married,Yes
E10179,38,Sales,Representative,Medical,3870,2.0,2,Yes,4,3,18.0,Single,No
E10180,51,Sales,Specialist,Medical,5454,7.0,2,No,4,2,5.0,Single,No
E10181,36,Sales,Representative,Life Sciences,4015,3.0,3,No,4,1,22.0,Single,No
E10182,37,HR,Manager,Life Sciences,8472,7.0,4,No,2,3,24.0,Married,No
E10183,51,HR,Representative,Life Sciences,6994,7.0,5,No,4,4,21.0,Married,No
E10184,31,Sales,Technician,Marketing,4874,7.0,3,No,4,1,12.0,Single,Yes
E10185,44,R&D,Representative,Life Sciences,5294,5.0,5,Yes,1,4,2.0,Married,No
E10186,35,R&D,Technician,Technical Degree,5582,12.0,2,Yes,1,3,29.0,Married,No
E10187,28,R&D,Specialist,Technical Degree,7378,6.0,2,Yes,4,2,23.0,Married,No
E10188,37,R&D,Representative,Engineering,6010,4.0,4,No,2,3,5.0,Single,No
E10189,43,Sales,Specialist,Engineering,7563,2.0,2,Yes,1,4,29.0,Married,Yes
E10190,49,Sales,Specialist,Marketing,8456,13.0,13,Yes,1,4,27.0,Divorced,No
E10191,50,HR,Technician,Life Sciences,6490,5.0,3,No,4,2,18.0,Single,No
E10192,34,HR,Technician,Engineering,7502,12.0,6,No,2,1,,Single,No
E10193,28,R&D,Representative,Technical Degree,5041,6.0,3,No,4,3,6.0,Single,No
E10194,34,Sales,Specialist,Engineering,9117,23.0,5,No,1,2,11.0,Single,No
E10195,26,Sales,Technician,Other,8540,22.0,5,No,2,1,7.0,Married,No
E10196,35,R&D,Technician,Medical,6244,9.0,4,No,4,2,16.0,Divorced,No
E10197,34,HR,Manager,Medical,9669,9.0,4,Yes,3,4,8.0,Divorced,No
E10198,44,HR,Specialist,Engineering,9098,9.0,0,No,1,1,,Single,No
E10199,20,R&D,Specialist,Engineering,6484,6.0,3,No,4,2,11.0,Married,No
E10200,30,R&D,Specialist,Marketing,8670,13.0,6,Yes,2,3,20.0,Married,No
E10201,30,Sales,Representative,Engineering,6161,7.0,7,No,3,2,28.0,Married,No
E10202,48,Sales,Technician,Life Sciences,6201,3.0,3,No,4,1,22.0,Married,No
E10203,27,HR,Technician,Life Sciences,5858,6.0,6,Yes,4,2,19.0,Single,No
E10204,39,R&D,Representative,Engineering,3977,3.0,3,No,1,2,11.0,Married,No
E10205,36,Sales,Specialist,Engineering,8620,3.0,3,No,4,3,22.0,Married,No
E10206,46,Sales,Representative,Medical,5471,4.0,4,No,3,1,9.0,Married,No
E10207,42,R&D,Specialist,Engineering,9722,20.0,0,No,4,1,12.0,Married,No
E10208,38,Sales,Representative,Engineering,7031,10.0,10,No,1,4,16.0,Single,No
E10209,32,Sales,Specialist,Marketing,7508,6.0,4,Yes,3,2,5.0,Single,No
E10210,20,R&D,Representative,Other,6256,6.0,3,Yes,3,1,2.0,Divorced,Yes
E10211,39,R&D,Specialist,Life Sciences,8455,8.0,1,Yes,1,1,10.0,Married,Yes
E10212,42,R&D,Specialist,Engineering,5707,5.0,5,Yes,2,1,2.0,Divorced,No
E10213,23,Sales,Technician,Marketing,6071,10.0,1,No,3,3,27.0,Single,No
E10214,26,R&D,Specialist,Technical Degree,5324,8.0,8,No,2,3,23.0,Married,No
E10215,39,Sales,Technician,Medical,6313,10.0,3,No,3,3,4.0,Married,No
E10216,40,Sales,Specialist,Marketing,6647,6.0,6,No,3,1,,Divorced,No
E10217,28,R&D,Technician,Life Sciences,7316,26.0,2,No,1,3,25.0,Single,No
E10218,32,R&D,Specialist,Marketing,6958,3.0,3,No,4,1,16.0,Single,No
E10219,20,R&D,Manager,Engineering,10010,11.0,7,No,3,3,6.0,Married,No
E10220,49,R&D,Specialist,Medical,6109,5.0,3,Yes,4,2,10.0,Divorced,No
E10221,25,R&D,Executive,Medical,12667,8.0,8,No,3,1,29.0,Divorced,No
E10222,42,Sales,Specialist,Other,8250,9.0,5,No,2,4,21.0,Divorced,No
E10223,37,Sales,Specialist,Engineering,9191,22.0,14,No,4,2,7.0,Divorced,No
E10224,49,Sales,Specialist,Engineering,7971,9.0,2,No,2,2,5.0,Single,No
E10225,30,Sales,Manager,Marketing,7569,6.0,6,No,4,2,13.0,Single,No
E10226,38,HR,Technician,Medical,4744,0.0,0,Yes,4,4,9.0,Single,No
E10227,22,Sales,Representative,Medical,4102,5.0,1,Yes,2,4,9.0,Married,No
E10228,20,HR,Specialist,Engineering,9072,30.0,1,No,1,4,23.0,Divorced,No
E10229,42,R&D,Technician,Engineering,7332,11.0,3,No,2,3,15.0,Divorced,No
E10230,21,R&D,Technician,Life Sciences,5547,12.0,6,No,1,3,4.0,Single,Yes
E10231,35,R&D,Specialist,Life Sciences,7014,1.0,1,No,1,2,1.0,Married,No
E10232,46,R&D,Technician,Technical Degree,6720,5.0,5,No,4,4,20.0,Divorced,No
E10233,44,R&D,Specialist,Life Sciences,8340,11.0,9,No,2,2,28.0,Married,No
E10234,31,Sales,Executive,Medical,11959,2.0,2,No,3,2,14.0,Single,No
E10235,23,R&D,Manager,Marketing,9412,8.0,8,Yes,3,4,19.0,Married,No
E10236,42,Sales,Technician,Medical,8805,17.0,5,Yes,2,3,1.0,Married,Yes
E10237,49,Sales,Technician,Life Sciences,7833,4.0,3,No,3,2,29.0,Married,No
E10238,31,R&D,Manager,Technical Degree,8790,4.0,1,No,1,2,10.0,Married,No
E10239,30,Sales,Specialist,Engineering,10901,15.0,1,No,2,1,4.0,Single,No
E10240,32,HR,Representative,Marketing,6529,5.0,4,No,1,4,23.0,Divorced,No
E10241,42,HR,Specialist,Engineering,6316,4.0,4,No,4,2,18.0,Married,No
E10242,48,HR,Executive,Life Sciences,13850,19.0,2,No,2,4,29.0,Married,No
E10243,26,Sales,Representative,Life Sciences,4832,7.0,3,No,3,1,28.0,Divorced,No
E10244,24,Sales,Technician,Engineering,5871,4.0,3,No,3,4,12.0,Single,No
E10245,58,HR,Technician,Other,8747,15.0,2,Yes,1,1,7.0,Single,Yes
E10246,35,R&D,Technician,Engineering,6391,3.0,2,No,4,1,6.0,Divorced,Yes
E10247,39,HR,Representative,Medical,5360,8.0,7,Yes,3,3,9.0,Single,No
E10248,31,HR,Executive,Other,10254,9.0,4,No,3,2,27.0,Married,No
E10249,41,HR,Executive,Engineering,9878,5.0,5,No,4,2,2.0,Single,No
E10250,46,Sales,Specialist,Medical,9741,12.0,1,No,1,4,15.0,Single,No
E10251,40,Sales,Representative,Engineering,6298,4.0,4,No,1,4,,Married,No
E10252,53,HR,Technician,Engineering,8469,13.0,5,No,4,1,13.0,Single,No
E10253,34,Sales,Manager,Life Sciences,7784,7.0,7,No,4,1,11.0,Married,No
E10254,35,Sales,Representative,Other,5900,3.0,1,No,1,4,22.0,Married,No
E10255,39,R&D,Executive,Engineering,10541,,6,No,2,4,22.0,Divorced,No
E10256,41,HR,Manager,Marketing,8808,9.0,3,Yes,1,4,19.0,Married,No
E10257,39,R&D,Technician,Life Sciences,4293,1.0,1,No,2,1,6.0,Single,Yes
E10258,25,R&D,Specialist,Technical Degree,8359,17.0,2,No,2,4,9.0,Divorced,No
E10259,40,Sales,Representative,Engineering,5621,7.0,5,No,2,1,12.0,Married,No
E10260,34,R&D,Specialist,Medical,7590,5.0,2,No,1,2,29.0,Married,No
E10261,32,HR,Representative,Medical,5943,,5,No,4,2,11.0,Divorced,No
E10262,37,Sales,Technician,Marketing,6876,8.0,4,No,2,1,3.0,Married,No
E10263,28,R&D,Manager,Other,8803,5.0,5,No,4,1,18.0,Married,No
E10264,27,HR,Representative,Technical Degree,4972,9.0,5,Yes,4,1,24.0,Married,Yes
E10265,20,R&D,Executive,Engineering,12041,13.0,3,Yes,3,1,13.0,Single,Yes
E10266,53,R&D,Specialist,Life Sciences,8317,6.0,4,No,4,3,13.0,Single,No
E10267,42,R&D,Executive,Life Sciences,10376,1.0,1,No,1,2,15.0,Married,No
E10268,36,Sales,Representative,Life Sciences,6217,11.0,5,No,1,2,19.0,Single,No
E10269,31,Sales,Specialist,Life Sciences,6892,7.0,7,No,2,3,15.0,Single,No
E10270,20,R&D,Specialist,Life Sciences,7031,3.0,3,No,1,4,28.0,Single,No
E10271,30,R&D,Manager,Life Sciences,10169,10.0,1,No,2,1,15.0,Married,Yes
E10272,43,HR,Specialist,Other,6253,3.0,3,No,1,1,5.0,Married,Yes
E10273,45,HR,Technician,Engineering,8331,11.0,6,No,2,4,5.0,Married,No
E10274,43,R&D,Executive,Other,10484,3.0,3,No,1,2,2.0,Married,No
E10275,38,R&D,Specialist,Life Sciences,6877,5.0,4,Yes,1,3,18.0,Married,No
E10276,49,R&D,Specialist,Marketing,8296,2.0,2,Yes,2,1,6.0,Married,Yes
E10277,34,R&D,Specialist,Technical Degree,7725,5.0,5,No,4,2,18.0,Married,No
E10278,47,R&D,Representative,Life Sciences,6303,5.0,2,No,3,2,22.0,Married,No
E10279,34,R&D,Specialist,Life Sciences,7931,7.0,2,Yes,1,2,28.0,Divorced,No
E10280,29,HR,Representative,Life Sciences,6461,6.0,6,Yes,4,3,28.0,Divorced,No
E10281,28,Sales,Executive,Life Sciences,9228,3.0,2,No,3,3,7.0,Divorced,No
E10282,27,Sales,Specialist,Other,6604,7.0,4,No,3,3,29.0,Divorced,No
E10283,43,Sales,Representative,Technical Degree,7094,5.0,5,Yes,1,3,20.0,Married,Yes
E10284,30,R&D,Executive,Engineering,10222,8.0,8,Yes,4,3,26.0,Married,Yes
E10285,28,Sales,Technician,Engineering,4544,4.0,3,No,1,3,20.0,Married,No
E10286,43,R&D,Representative,Life Sciences,6052,5.0,2,No,2,4,29.0,Married,No
E10287,40,R&D,Manager,Engineering,9397,9.0,6,Yes,2,2,3.0,Divorced,Yes
E10288,46,Sales,Manager,Marketing,10155,6.0,6,No,3,2,17.0,Married,No
E10289,42,R&D,Technician,Engineering,5557,2.0,1,No,2,4,,Divorced,No
E10290,30,Sales,Specialist,Marketing,8170,18.0,4,No,4,1,19.0,Married,No
E10291,38,Sales,Specialist,Engineering,7207,12.0,12,No,2,4,8.0,Divorced,No
E10292,38,R&D,Manager,Life Sciences,10534,12.0,2,No,2,1,21.0,Married,No
E10293,29,Sales,Manager,Medical,8406,2.0,2,No,4,1,23.0,Married,No
E10294,27,Sales,Technician,Life Sciences,5284,,1,No,4,4,19.0,Single,No
E10295,31,R&D,Manager,Other,9270,13.0,4,Yes,2,4,19.0,Married,No
E10296,55,R&D,Executive,Technical Degree,11405,3.0,3,No,4,3,27.0,Divorced,No
E10297,33,Sales,Technician,Life Sciences,6138,8.0,5,No,1,4,6.0,Single,No
E10298,48,R&D,Specialist,Engineering,7467,5.0,5,No,2,3,26.0,Married,No
E10299,33,Sales,Manager,Technical Degree,9056,1.0,1,Yes,3,4,20.0,Married,No
E10300,45,Sales,Technician,Technical Degree,4165,4.0,2,No,4,4,8.0,Divorced,No
E10301,45,R&D,Manager,Technical Degree,8983,9.0,5,No,4,1,3.0,Married,No
E10302,46,R&D,Technician,Engineering,6132,6.0,5,No,1,4,5.0,Single,No
E10303,40,R&D,Representative,Other,7521,20.0,4,Yes,1,1,1.0,Married,Yes
E10304,49,R&D,Specialist,Engineering,8606,11.0,9,No,3,3,1.0,Married,No
E10305,40,HR,Technician,Medical,6007,10.0,2,No,1,4,24.0,Single,No
E10306,52,R&D,Executive,Technical Degree,11799,8.0,2,No,1,3,23.0,Married,Yes
E10307,22,Sales,Specialist,Engineering,6158,3.0,3,Yes,3,4,1.0,Divorced,No
E10308,40,R&D,Representative,Technical Degree,4793,4.0,2,No,2,4,6.0,Divorced,No
E10309,40,Sales,Representative,Life Sciences,6358,7.0,7,No,1,2,2.0,Single,No
