type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,ph,sulphates,alcohol,density,quality_grade
white,7.9,0.222,0.248,9.42,0.0543,3.208,0.268,9.52,0.99807,Low
red,8.5,0.575,0.366,5.02,0.0684,3.26,0.637,10.52,0.99653,Medium
white,7.86,0.164,0.432,7.58,0.0243,3.117,0.511,12.65,0.99423,High
white,7.96,0.395,0.429,9.96,0.0448,,0.47,9.87,0.99814,Medium
white,6.12,0.422,0.209,6.23,0.0608,3.112,0.507,11.3,0.99457,Medium
white,5.01,0.384,0.43,9.92,0.0543,3.26,0.343,10.95,0.99408,Medium
white,8.7,0.318,0.305,9.12,0.056,3.002,0.313,10.23,0.99706,Medium
red,8.68,0.576,0.271,6.14,0.0832,,0.74,10.63,0.99637,Medium
red,6.51,0.537,0.225,3.39,0.0861,3.247,0.645,12.24,0.99383,Medium
white,6.21,0.262,0.243,13.78,0.0579,3.17,0.24,10.98,0.99464,Medium
red,9.25,0.705,0.519,3.88,0.0759,3.267,0.521,11.15,0.99776,Medium
red,8.09,0.485,0.347,4.16,0.0812,3.145,0.696,12.08,0.9956,High
white,6.44,0.418,0.331,8.12,0.0761,3.099,0.496,10.1,0.99699,Low
white,8.54,0.098,0.279,10.55,0.0521,3.282,0.679,9.3,0.99967,High
red,7.25,0.648,0.604,6.04,0.0806,3.288,0.716,12.26,0.99595,High
white,6.12,0.487,0.467,5.79,0.0515,3.124,,10.54,0.99817,Medium
red,8.63,0.523,0.223,5.34,0.0767,3.111,0.573,11.34,0.99479,Low
white,7.43,0.396,0.277,8.77,0.0435,3.173,0.476,9.6,0.99632,Low
red,8.95,0.576,0.284,10.73,0.0831,3.117,0.423,10.81,0.99689,Low
white,8.0,0.276,0.328,7.78,0.0424,3.429,0.355,9.25,0.99811,Low
,7.22,0.395,0.226,10.21,0.0478,3.247,0.433,10.47,0.99776,Low
white,7.54,0.259,0.363,23.37,0.0381,3.202,0.453,9.72,0.99584,Medium
red,8.11,0.459,0.484,9.71,0.0816,3.06,0.624,9.48,0.99816,Medium
white,7.07,0.453,0.152,6.51,0.0588,3.311,0.655,10.08,0.99788,Low
red,8.52,0.617,0.175,7.88,0.0768,3.108,0.652,8.0,0.9997,Low
red,8.64,0.449,0.252,6.74,0.0499,3.102,0.68,9.18,0.99743,Medium
white,7.85,0.267,0.258,7.7,0.0589,3.316,0.498,11.22,0.99643,Medium
red,9.01,0.455,0.55,7.93,0.0818,3.258,0.662,10.77,0.99567,High
white,7.05,0.413,0.43,6.49,0.0351,2.824,0.512,9.27,0.99745,Medium
white,6.11,0.24,0.423,7.11,0.0616,3.176,0.477,10.98,0.99524,High
red,8.47,0.556,0.278,4.95,0.059,3.219,0.818,9.48,0.99685,Medium
white,6.97,0.415,0.276,7.6,0.0657,3.149,0.25,11.16,0.9958,Low
red,8.61,0.511,0.136,7.47,0.0791,,0.365,10.28,0.99637,Low
white,9.43,0.441,0.404,,0.016,2.929,0.576,10.06,0.99632,High
red,7.82,0.49,0.369,,0.0827,2.775,0.558,10.3,0.99562,Medium
white,7.46,0.319,0.464,12.82,0.0439,3.054,0.358,13.09,0.99604,High
red,9.58,0.422,0.285,7.32,0.0716,3.242,0.463,9.6,0.99697,Medium
red,8.51,0.622,0.293,2.76,0.0689,2.716,0.479,10.64,0.99678,Low
red,10.97,0.443,0.33,2.74,0.0781,3.073,0.697,11.22,0.99438,High
white,6.58,0.375,0.417,7.41,0.0427,2.912,0.675,9.39,0.99883,Medium
white,7.36,0.333,0.134,6.08,0.0221,3.164,0.727,8.73,0.99835,Low
white,6.12,0.235,0.398,11.98,0.0691,3.494,0.339,9.77,0.99687,Medium
white,6.61,0.279,0.308,7.2,0.0463,3.167,0.366,11.2,0.99559,Medium
white,7.27,0.478,0.183,10.2,0.039,3.184,0.358,10.04,0.99781,Low
white,7.93,0.36,0.06,11.02,0.0331,3.326,0.685,10.16,0.99426,Medium
red,8.75,0.419,0.294,2.32,0.0916,3.203,0.64,11.36,0.99509,Medium
white,8.39,0.371,0.484,7.28,0.0305,3.168,0.54,9.55,0.99736,Medium
white,6.9,0.325,0.511,8.04,0.052,3.339,0.558,10.31,0.99666,Medium
red,8.03,0.865,0.353,6.19,0.0712,3.271,0.583,8.81,1.00039,Low
red,11.37,0.549,0.545,8.51,0.0721,3.243,0.455,10.74,0.99609,Medium
white,7.43,0.302,0.305,19.46,0.0334,3.179,0.592,10.64,0.99738,High
red,7.61,0.662,0.424,12.33,0.0707,3.148,0.568,11.24,0.99757,Medium
white,6.24,0.156,0.256,8.43,0.0501,3.338,0.386,9.2,0.99838,Low
red,7.36,0.529,0.248,5.2,0.0835,3.15,0.659,10.2,0.99627,Low
red,9.43,0.719,0.229,11.61,0.0682,3.385,0.539,9.06,0.99675,Low
white,6.6,0.328,0.063,8.58,0.0486,3.043,0.557,10.14,0.9976,Medium
red,8.54,0.347,0.464,4.04,0.0933,3.415,0.575,11.96,0.99678,High
red,8.33,0.48,0.233,8.86,0.0551,3.271,0.697,10.06,0.9975,Medium
white,7.8,0.485,0.214,9.54,0.0499,3.055,0.556,8.97,0.9991,Low
white,6.07,0.378,0.168,5.92,0.0357,3.276,0.424,9.69,0.99967,Low
red,7.22,0.436,0.285,4.6,0.0642,3.102,0.629,8.71,0.99897,Medium
red,8.65,0.451,0.522,2.92,0.0839,,0.633,9.04,0.99693,Medium
white,7.66,0.284,0.561,5.21,0.0418,3.127,0.591,11.1,0.99612,High
white,7.37,0.376,0.111,16.51,0.0317,3.18,0.654,8.88,0.9993,Low
white,6.11,0.474,0.267,8.94,0.0699,3.341,0.456,10.73,0.99618,Medium
red,9.15,0.625,0.186,4.68,0.0938,3.278,0.67,10.43,0.99803,Low
red,7.58,0.566,0.429,4.19,0.051,3.031,,9.84,0.99714,Low
red,7.83,0.387,0.344,5.43,0.0579,3.04,0.576,10.64,0.99678,Medium
red,7.36,0.387,0.234,4.17,0.0889,3.241,0.557,9.42,0.99727,Low
white,8.43,0.393,0.319,6.53,0.0457,3.251,0.704,11.28,0.99605,High
red,9.1,0.385,0.253,4.28,0.1025,3.099,0.571,9.67,0.99755,Low
white,7.67,0.317,0.504,14.17,0.0592,3.439,0.603,9.99,0.99562,Medium
white,8.37,0.37,0.376,11.95,0.0545,3.322,0.319,9.87,0.99678,Low
white,10.09,0.226,0.39,7.49,0.0347,3.106,0.488,11.12,0.99494,High
red,6.52,0.418,0.0,14.09,0.0874,3.092,0.488,10.97,0.99582,Low
white,6.19,0.331,0.302,8.4,0.0309,3.166,0.827,8.0,0.99814,Low
white,6.32,0.39,0.56,6.86,0.0696,3.15,0.45,10.67,0.99737,Medium
white,6.06,0.446,0.469,9.69,0.0563,3.388,0.539,8.57,0.99927,Low
red,7.21,0.581,0.088,11.95,0.0676,3.348,0.605,10.04,0.99753,Low
,8.07,0.527,0.272,10.68,0.0921,3.205,0.399,10.29,0.99566,Low
white,5.66,0.265,0.166,6.94,0.0836,3.302,0.467,10.03,0.99694,Medium
red,8.77,0.413,0.515,3.06,0.0767,,0.639,10.93,0.99501,High
red,8.46,0.469,0.339,4.48,0.0883,3.209,0.6,11.16,0.99588,Low
white,7.53,0.381,0.218,10.27,0.0435,3.26,0.254,9.59,0.99801,Low
white,7.56,0.374,0.314,11.32,0.0513,3.289,0.462,9.55,0.99836,Medium
white,7.66,0.13,0.0,13.04,0.0274,3.273,0.652,10.36,0.99716,High
red,7.99,0.441,0.18,5.9,0.08,3.083,0.661,8.78,0.99929,Low
white,9.33,0.46,0.314,9.2,0.0507,3.098,0.676,9.9,0.99738,Medium
red,8.66,0.528,0.411,5.79,0.107,3.157,0.472,11.82,0.99521,Medium
white,4.95,0.198,0.077,12.34,0.0231,3.094,0.684,8.82,0.99891,Medium
white,5.9,0.576,0.264,11.4,0.0458,2.979,0.525,10.04,0.99784,Low
red,6.49,0.517,0.431,3.68,0.0993,3.301,0.781,9.78,0.99679,Medium
red,8.42,0.558,0.136,7.66,0.0764,3.252,0.59,12.51,0.99514,Medium
red,8.27,0.56,0.338,8.82,0.0774,2.999,0.344,9.84,0.99694,Low
white,6.48,0.303,0.318,12.41,0.0375,3.164,0.632,9.9,0.99534,High
white,9.21,0.267,0.516,9.55,0.036,3.172,0.477,9.32,0.99807,Medium
white,7.6,0.552,0.282,9.37,0.0226,,0.485,10.41,0.99553,Medium
white,7.8,0.44,0.289,8.51,0.0406,3.038,0.356,10.68,0.99674,Low
white,5.98,0.422,0.413,8.8,0.0352,2.997,0.725,9.47,0.99616,Medium
white,5.9,0.398,0.151,16.06,0.0518,3.278,0.467,11.44,0.99512,Medium
red,8.44,0.42,0.283,5.7,0.0682,2.97,0.779,10.68,0.99606,Medium
red,8.59,0.648,0.255,3.81,0.0728,3.165,0.538,11.29,0.99698,Low
white,4.96,0.256,0.293,9.62,0.0432,3.151,0.419,10.06,0.99653,Medium
white,6.8,0.368,0.412,11.23,0.0493,3.182,0.688,10.66,0.9955,High
red,8.42,0.356,0.376,9.0,0.0721,3.238,0.581,10.18,0.99723,Medium
white,6.76,0.136,0.22,6.52,0.0341,3.44,0.522,11.93,0.99513,High
white,6.11,0.372,0.326,14.59,0.0513,2.96,0.376,10.52,0.9973,Medium
white,6.41,0.259,0.489,11.07,0.066,3.331,0.475,10.41,0.99578,Medium
white,6.81,0.141,0.21,14.23,0.0519,2.823,0.581,9.92,0.99732,High
red,8.5,0.574,0.327,2.84,0.0709,3.409,0.434,9.86,0.99941,Low
red,9.07,0.732,0.287,9.4,0.0782,2.894,0.525,10.65,0.99626,Low
red,9.59,0.659,0.302,3.25,0.0492,3.565,0.54,11.26,0.99609,Low
white,6.68,0.314,0.114,7.93,0.0479,3.142,,9.68,0.99585,Low
,6.5,0.341,0.479,11.21,0.044,3.394,0.708,10.53,0.99582,High
white,7.48,0.429,0.217,6.32,0.036,3.363,0.494,10.59,0.99694,Medium
red,9.07,0.632,0.433,4.15,0.0687,3.135,0.507,10.78,0.99606,Low
red,7.92,0.486,0.235,2.82,0.0738,3.146,0.92,8.61,0.99886,Medium
white,7.87,0.343,0.235,11.1,0.0649,3.074,0.478,9.43,0.99796,Low
white,8.08,0.37,0.456,6.85,0.0664,,0.507,8.97,0.9968,Medium
red,9.82,0.575,0.429,5.51,0.0661,3.136,0.547,10.43,0.99759,Medium
red,10.36,0.507,0.335,6.74,0.0722,3.077,0.557,9.45,0.99644,Low
white,6.05,0.328,0.401,9.58,0.0426,3.281,0.539,9.88,0.99648,Medium
red,8.42,0.658,0.275,6.08,0.0921,3.065,0.7,9.15,0.99803,Low
white,7.01,0.461,0.309,9.27,0.0522,3.151,0.578,9.98,0.99849,Medium
red,8.29,0.568,0.231,2.89,0.0814,3.216,0.719,9.22,0.99686,Low
red,7.69,0.692,0.418,4.86,0.088,3.104,0.715,11.2,0.99611,Medium
white,5.37,0.301,0.227,9.25,0.0411,3.126,0.555,10.9,0.99639,High
red,8.5,0.682,0.488,5.71,0.1005,,0.635,10.56,0.99715,Low
red,7.55,0.574,0.272,5.14,0.08,3.169,0.723,10.08,0.99805,Low
red,8.49,0.847,0.312,3.88,0.0672,3.146,0.457,8.26,0.99826,Low
red,7.53,0.401,0.401,6.31,0.0766,3.174,0.89,9.92,0.99804,Medium
red,7.19,0.451,0.313,6.93,0.0985,3.268,0.528,9.6,0.99862,Low
red,8.66,0.562,0.274,4.41,0.0736,3.045,0.548,10.66,0.99807,Low
red,8.57,0.56,0.306,9.03,0.0942,3.264,0.445,11.05,0.99657,Low
red,9.04,0.715,0.417,11.52,0.0706,3.238,0.448,10.74,0.99654,Medium
white,9.4,0.273,0.23,8.77,0.0385,2.932,0.647,11.73,0.99508,High
,7.31,0.43,0.295,6.92,0.0599,,0.802,9.8,0.99593,Medium
red,8.93,0.636,0.311,3.11,0.0669,3.419,0.522,9.76,0.99703,Low
red,7.21,0.59,0.414,4.7,0.0923,3.08,0.632,11.49,0.99582,Medium
white,5.58,0.244,0.298,8.56,0.0553,3.032,0.556,10.57,0.99645,High
white,8.74,0.481,0.527,6.24,0.0369,3.234,0.65,10.14,0.99747,High
white,5.98,0.463,0.291,7.83,0.0489,2.986,0.796,12.34,0.99365,High
red,7.25,0.58,0.281,8.78,0.0718,,0.773,11.01,0.99599,Medium
red,8.36,0.54,0.289,2.22,0.0852,3.13,0.561,10.2,0.99868,Low
red,8.3,0.543,0.152,5.75,0.1083,3.443,0.653,9.68,0.99824,Low
red,7.41,0.512,0.186,4.14,0.0744,3.076,0.665,11.79,0.996,Medium
,6.66,0.404,0.246,8.65,0.058,3.183,0.528,10.62,0.99685,Medium
red,9.75,0.523,0.446,11.87,0.0804,3.39,0.458,10.43,0.99634,Low
red,7.51,0.435,0.306,5.32,0.0804,,0.494,11.11,0.99448,Low
red,6.87,0.415,0.252,4.94,0.0775,3.241,0.728,11.32,0.99628,High
white,8.04,0.265,0.457,10.83,0.0371,3.364,0.68,10.98,0.99397,High
red,8.94,0.542,0.496,6.35,0.085,3.117,0.565,11.33,0.99557,Medium
white,6.32,0.337,0.461,8.96,0.0457,3.011,0.561,10.87,0.99627,High
red,6.66,0.542,0.208,6.47,0.0664,2.981,0.734,10.98,0.99578,Low
white,6.18,0.39,0.251,13.29,0.0652,3.288,0.325,9.63,0.99935,Low
red,8.34,0.457,0.528,8.47,0.0815,3.258,0.536,12.3,0.99663,High
white,8.28,0.487,0.339,7.98,0.0466,3.359,0.772,9.1,0.9988,Medium
white,5.86,0.313,0.278,14.72,0.0701,3.159,0.566,10.72,0.99558,Medium
,6.91,0.297,0.396,7.46,0.0225,2.985,0.394,9.0,0.99969,Medium
white,7.74,0.388,0.431,8.95,0.0691,2.847,0.544,10.3,0.99735,Medium
white,4.38,0.156,0.241,9.29,0.0368,3.63,0.653,9.8,0.99639,High
white,8.14,0.261,0.336,7.87,0.0532,3.279,0.224,10.54,0.9966,Medium
white,5.7,0.438,0.421,14.03,0.0412,3.221,0.551,10.76,0.99724,Medium
red,8.77,0.346,0.171,4.55,0.0662,3.242,0.545,9.4,0.99706,Low
white,7.27,0.452,0.311,8.31,0.0697,2.985,0.333,10.37,0.99685,Low
white,8.19,0.491,0.176,12.35,0.0778,3.081,0.54,11.86,0.99567,Medium
,7.61,0.303,0.192,7.53,0.0467,3.461,0.514,9.02,0.99695,Medium
white,4.38,0.369,0.242,6.19,0.055,3.299,0.527,9.5,0.99727,Medium
red,7.54,0.632,0.367,5.83,0.0809,3.085,0.548,11.3,0.99497,Medium
white,7.15,0.293,0.271,6.55,0.076,3.016,0.407,10.48,0.99741,Medium
red,8.19,0.607,0.232,3.2,0.0483,3.123,0.415,10.56,0.99574,Low
red,8.93,0.453,0.316,2.24,0.0857,3.153,0.507,11.47,0.996,Medium
white,7.87,0.292,0.172,5.51,0.0391,3.507,0.633,9.57,0.9962,Medium
red,9.07,0.44,0.361,2.36,0.0447,3.172,0.618,9.85,0.99617,Low
red,8.16,0.554,0.446,12.37,0.0746,3.022,0.582,9.73,0.99624,Low
,6.37,0.636,0.3,2.36,0.1077,,0.465,10.03,0.99677,Low
red,7.9,0.502,0.286,3.31,0.0702,3.24,0.545,11.81,0.99559,Medium
red,8.86,0.393,0.355,,0.0919,3.008,0.678,8.61,0.99864,Low
red,7.2,0.412,0.067,7.45,0.098,3.26,0.651,9.15,0.99623,Low
white,7.69,0.379,0.374,11.06,0.0498,3.381,0.473,8.97,0.99784,Low
red,9.4,0.704,0.682,3.72,0.0818,3.221,0.277,11.87,0.9947,Medium
white,7.14,0.379,0.295,8.89,0.0243,3.08,0.449,9.75,0.99777,Medium
white,3.63,0.301,0.296,,0.0393,3.121,,10.06,0.99677,Medium
white,5.59,0.417,0.399,8.73,0.0636,2.951,0.421,8.7,0.99816,Low
red,10.47,0.496,0.507,5.91,0.0809,3.18,0.54,10.12,0.99628,Medium
white,6.4,0.302,0.427,9.93,0.0555,3.247,0.628,11.31,0.99743,High
