car_id,brand,model_year,mileage,fuel_type,transmission,engine_cc,accident,owner_count,price
C10088,Toyota,2008,220951,Diesel,Automatic,2000.0,No,1.0,481
C10089,Kia,2022,27845,Gasoline,Automatic,2000.0,No,1.0,4637
C10090,Hyundai,2009,160866,Gasoline,Automatic,2000.0,No,1.0,1141
C10091,BMW,2016,129401,Gasoline,Automatic,3000.0,No,1.0,5940
C10092,Benz,2013,128406,Hybrid,Automatic,1600.0,No,1.0,4997
C10093,Kia,2015,129154,Gasoline,Manual,1600.0,No,4.0,1850
C10094,Benz,2014,125075,Gasoline,Manual,2000.0,No,1.0,5222
C10095,Kia,2016,113014,Gasoline,Automatic,1600.0,No,4.0,1871
C10096,Kia,2016,98856,Hybrid,Automatic,2000.0,No,3.0,2548
C10097,Kia,2018,85085,Gasoline,Automatic,3000.0,No,4.0,3047
C10098,Hyundai,2011,168711,Gasoline,Automatic,2000.0,No,4.0,1327
C10099,Hyundai,2014,154415,Gasoline,Automatic,2500.0,No,1.0,2338
C10100,Hyundai,2012,126527,Gasoline,Manual,1600.0,No,3.0,1294
C10101,BMW,2014,76903,Diesel,Automatic,3000.0,No,3.0,5631
C10102,Hyundai,2011,131039,Diesel,Manual,2000.0,No,3.0,1136
C10103,Kia,2019,81033,Gasoline,Automatic,1000.0,No,2.0,2950
C10104,Toyota,2017,87754,Gasoline,Automatic,2000.0,Yes,4.0,3351
C10105,Hyundai,2018,79657,Gasoline,Automatic,3500.0,Yes,1.0,4164
C10106,Kia,2018,59034,Gasoline,Automatic,1000.0,No,2.0,2654
C10107,Benz,2008,211146,Gasoline,Automatic,2000.0,No,1.0,3175
C10108,Hyundai,2011,129110,Hybrid,Automatic,3000.0,No,2.0,2193
C10109,Hyundai,2022,20745,Electric,Automatic,1000.0,No,3.0,4999
C10110,Hyundai,2020,47170,Electric,Automatic,2000.0,No,2.0,4816
C10111,Hyundai,2017,100347,Hybrid,Automatic,2000.0,No,3.0,3004
C10112,Toyota,2022,29311,Diesel,Automatic,1600.0,Yes,2.0,4886
C10113,Benz,2010,206319,Diesel,Automatic,2000.0,No,1.0,3482
C10114,BMW,2016,65885,Gasoline,Automatic,1000.0,No,1.0,5867
C10115,Toyota,2012,155760,Diesel,Automatic,2500.0,Yes,2.0,1902
C10116,Benz,2011,381469,Gasoline,Automatic,,No,4.0,1306
C10117,Hyundai,2023,8403,Diesel,Automatic,1600.0,Yes,4.0,4434
C10118,Toyota,2015,117431,Hybrid,Automatic,2000.0,No,2.0,2404
C10119,Kia,2022,24497,Gasoline,Automatic,1600.0,No,4.0,4413
C10120,Benz,2012,174414,Gasoline,Automatic,1600.0,No,1.0,3793
C10121,Toyota,2023,13243,Electric,Automatic,2500.0,No,4.0,6145
C10122,Hyundai,2010,158928,Gasoline,Manual,3000.0,No,2.0,1398
C10123,Hyundai,2023,15777,Diesel,Automatic,3000.0,No,4.0,5038
C10124,Hyundai,2009,95044,Electric,Automatic,2000.0,No,2.0,2240
C10125,Kia,2022,25614,Diesel,Manual,3000.0,No,1.0,5399
C10126,Benz,2015,69392,Diesel,Automatic,3000.0,No,3.0,6526
C10127,Toyota,2019,51317,Gasoline,Manual,,No,,4259
C10128,Hyundai,2009,218616,Gasoline,Automatic,1600.0,Yes,1.0,300
C10129,Kia,2021,27532,Hybrid,Automatic,1000.0,No,2.0,4861
C10130,Kia,2015,78559,Diesel,Manual,2000.0,No,1.0,2344
C10131,Hyundai,2023,20145,Diesel,Automatic,3000.0,Yes,1.0,5086
C10132,Hyundai,2012,107065,Gasoline,Automatic,2000.0,Yes,4.0,1403
C10133,Hyundai,2015,161564,Gasoline,Automatic,2000.0,No,2.0,2032
C10134,Toyota,2023,12483,Electric,Automatic,1000.0,No,4.0,6030
C10135,Hyundai,2012,137106,Gasoline,Automatic,1600.0,No,2.0,1573
C10136,Kia,2008,235205,Diesel,Automatic,,No,4.0,300
C10137,BMW,2019,85048,Gasoline,Automatic,3500.0,No,4.0,6360
C10138,Kia,2020,38247,Diesel,Automatic,1600.0,No,3.0,3452
C10139,Toyota,2018,68815,Electric,Automatic,3000.0,Yes,1.0,4369
C10140,Toyota,2021,46621,Diesel,Automatic,1600.0,No,4.0,4357
C10141,Hyundai,2018,83183,Gasoline,Automatic,2000.0,Yes,3.0,3075
C10142,Kia,2009,244586,Diesel,Manual,2000.0,No,4.0,300
C10143,Hyundai,2021,43636,Hybrid,Automatic,2500.0,No,4.0,4856
C10144,Hyundai,2023,18424,Gasoline,Automatic,1000.0,No,3.0,4965
C10145,Hyundai,2013,148893,Hybrid,Automatic,1600.0,Yes,3.0,1701
C10146,BMW,2010,191316,Diesel,Automatic,1600.0,No,3.0,3201
C10147,Kia,2015,125686,Hybrid,Automatic,3000.0,No,1.0,2775
C10148,Hyundai,2012,150870,Diesel,Manual,1600.0,Yes,1.0,860
C10149,Hyundai,2010,217619,Gasoline,Automatic,1000.0,No,4.0,300
C10150,Toyota,2019,68555,Gasoline,Manual,2000.0,No,1.0,3765
C10151,Hyundai,2017,107551,Gasoline,Automatic,,Yes,3.0,2283
C10152,Hyundai,2014,158334,Electric,Automatic,2500.0,Yes,2.0,2154
C10153,Kia,2021,42856,Hybrid,Automatic,3000.0,No,1.0,4844
C10154,Toyota,2015,130546,Diesel,Automatic,2000.0,No,3.0,2365
C10155,Hyundai,2011,129597,Gasoline,Automatic,3000.0,No,3.0,1178
C10156,BMW,2020,45395,Gasoline,Automatic,2500.0,No,3.0,6632
C10157,Benz,2020,62120,Hybrid,Automatic,1600.0,No,3.0,6948
C10158,Hyundai,2018,103625,Diesel,Manual,3000.0,No,4.0,3203
C10159,BMW,2016,57429,Gasoline,Manual,2000.0,No,3.0,6019
C10160,Kia,2013,124260,Diesel,Automatic,1600.0,No,3.0,1477
C10161,BMW,2021,39212,Gasoline,Automatic,2000.0,No,4.0,6694
C10162,BMW,2008,165794,Gasoline,Automatic,1600.0,No,1.0,3019
C10163,Kia,2012,126389,Diesel,Automatic,1000.0,No,2.0,1312
C10164,Hyundai,2012,173097,Gasoline,Manual,2000.0,No,4.0,1263
C10165,Benz,2014,177441,Electric,Automatic,2500.0,No,4.0,4702
C10166,Hyundai,2014,69045,Gasoline,Automatic,2500.0,No,1.0,2488
C10167,Hyundai,2013,137374,Gasoline,Automatic,1600.0,No,1.0,1914
C10168,Hyundai,2022,28779,Gasoline,Automatic,3500.0,No,3.0,5362
C10169,Kia,2022,30681,Hybrid,Automatic,1000.0,Yes,1.0,4394
C10170,BMW,2015,125616,Gasoline,Automatic,1600.0,No,2.0,4535
C10171,Hyundai,2009,274263,Diesel,Automatic,1600.0,No,4.0,300
C10172,Kia,2021,39260,Gasoline,Automatic,1000.0,No,2.0,4016
C10173,Hyundai,2020,67743,Gasoline,Automatic,1600.0,No,3.0,3922
C10174,BMW,2023,11060,Gasoline,Automatic,2000.0,Yes,2.0,7137
C10175,Hyundai,2020,335786,Hybrid,Automatic,3000.0,No,3.0,1563
C10176,BMW,2014,93618,Hybrid,Automatic,,No,2.0,5638
C10177,Kia,2017,109918,Gasoline,Automatic,2500.0,No,4.0,2368
C10178,Toyota,2022,25277,Diesel,Automatic,2000.0,No,2.0,5283
C10179,Hyundai,2014,140734,Electric,Automatic,2500.0,No,1.0,2398
C10180,Kia,2011,156778,Gasoline,Automatic,2500.0,No,2.0,1781
C10181,Hyundai,2019,73796,Hybrid,Automatic,2000.0,No,4.0,3824
C10182,Toyota,2017,99346,Gasoline,Automatic,2500.0,No,3.0,3329
C10183,Toyota,2009,150240,Electric,Automatic,2000.0,No,2.0,1662
C10184,Hyundai,2011,132466,Hybrid,Automatic,1600.0,No,2.0,1624
C10185,BMW,2011,167917,Electric,Automatic,2000.0,No,1.0,4717
C10186,Benz,2019,74893,Diesel,Manual,2000.0,No,3.0,6427
C10187,Kia,2019,92943,Gasoline,Manual,2500.0,No,3.0,3023
C10188,Kia,2013,152998,Electric,Automatic,1600.0,No,3.0,2035
C10189,Hyundai,2021,48067,Gasoline,Automatic,2000.0,No,4.0,3788
C10190,Hyundai,2014,81614,Gasoline,Automatic,3000.0,Yes,4.0,2411
C10191,Toyota,2010,266544,Diesel,Automatic,3500.0,No,1.0,760
C10192,Toyota,2022,29634,Hybrid,Automatic,1600.0,No,2.0,5410
C10193,BMW,2017,89958,Electric,Manual,,No,4.0,6110
C10194,Hyundai,2008,200094,Gasoline,Automatic,2000.0,No,3.0,300
C10195,Kia,2010,135497,Hybrid,Manual,1600.0,No,2.0,1208
C10196,BMW,2016,84289,Hybrid,Automatic,1000.0,Yes,2.0,5183
C10197,Toyota,2008,299700,Gasoline,Automatic,1600.0,Yes,2.0,300
C10198,Toyota,2020,40131,Gasoline,Automatic,2500.0,No,1.0,4364
C10199,Benz,2015,89776,Gasoline,Automatic,2500.0,No,4.0,5228
C10200,BMW,2009,163400,Gasoline,Automatic,2000.0,No,4.0,3807
C10201,Hyundai,2013,103460,Electric,Automatic,2000.0,No,2.0,3056
C10202,Hyundai,2010,182642,Diesel,Automatic,2000.0,No,1.0,804
C10203,Toyota,2014,162667,Diesel,Automatic,1600.0,No,1.0,2151
C10204,BMW,2009,167527,Electric,Automatic,2000.0,No,4.0,4315
C10205,Hyundai,2011,115440,Gasoline,Automatic,1000.0,No,4.0,683
C10206,Hyundai,2017,97129,Hybrid,Automatic,2000.0,Yes,1.0,3089
C10207,BMW,2016,102661,Gasoline,Automatic,1600.0,No,3.0,5066
C10208,Hyundai,2013,176089,Hybrid,Automatic,2000.0,No,1.0,2110
C10209,Hyundai,2011,151274,Gasoline,Automatic,2000.0,No,3.0,1357
C10210,Kia,2009,183292,Electric,Manual,1600.0,Yes,4.0,920
C10211,BMW,2017,87859,Gasoline,Automatic,1000.0,No,1.0,5860
C10212,BMW,2021,39801,Gasoline,Automatic,1600.0,Yes,1.0,6580
C10213,Hyundai,2016,94578,Hybrid,Automatic,2000.0,No,1.0,3184
C10214,BMW,2022,22672,Gasoline,Manual,1000.0,No,1.0,7503
C10215,Hyundai,2011,96835,Diesel,Automatic,1000.0,No,2.0,2144
C10216,Hyundai,2016,90430,Gasoline,Automatic,2000.0,Yes,2.0,2372
C10217,Benz,2021,45437,Hybrid,Automatic,2500.0,No,4.0,7587
C10218,BMW,2009,233261,Gasoline,Automatic,1600.0,No,4.0,1633
C10219,Benz,2014,115866,Gasoline,Automatic,2000.0,No,1.0,5302
C10220,BMW,2018,101390,Gasoline,Automatic,3000.0,Yes,2.0,6181
C10221,Kia,2018,77483,Diesel,Automatic,3000.0,Yes,4.0,3366
C10222,Hyundai,2012,107837,Gasoline,Manual,1600.0,Yes,3.0,1661
C10223,Kia,2015,72385,Gasoline,Automatic,2500.0,Yes,2.0,3080
C10224,Hyundai,2018,99928,Gasoline,Automatic,2000.0,No,2.0,3102
C10225,Hyundai,2021,35642,Gasoline,Automatic,3500.0,No,2.0,4848
C10226,Toyota,2015,84220,Diesel,Automatic,2000.0,No,1.0,3265
C10227,Kia,2021,18666,Hybrid,Automatic,2500.0,No,3.0,4947
C10228,Toyota,2021,35438,Gasoline,Automatic,2500.0,Yes,1.0,5666
C10229,BMW,2011,184785,Diesel,Automatic,2000.0,Yes,4.0,3023
C10230,Benz,2020,43627,Diesel,Automatic,2500.0,No,3.0,6879
C10231,Kia,2011,127923,Gasoline,Automatic,1600.0,No,1.0,1074
C10232,Kia,2022,22703,Diesel,Manual,1600.0,Yes,2.0,3916
C10233,Kia,2015,150566,Gasoline,Automatic,2000.0,No,3.0,1470
C10234,Hyundai,2010,123494,Diesel,Automatic,3000.0,No,2.0,1438
C10235,BMW,2014,110748,Gasoline,Automatic,2000.0,No,4.0,4757
C10236,Hyundai,2015,149690,Diesel,Automatic,2000.0,No,3.0,1496
C10237,Hyundai,2015,130342,Diesel,Automatic,2000.0,No,4.0,2183
C10238,BMW,2018,81224,Gasoline,Manual,,No,4.0,5962
C10239,Hyundai,2017,77382,Gasoline,Automatic,1600.0,No,4.0,2745
C10240,Toyota,2011,170189,Electric,Automatic,2000.0,Yes,3.0,1711
C10241,Toyota,2016,91092,Gasoline,Automatic,,No,4.0,3662
C10242,Toyota,2022,20843,Diesel,Automatic,1600.0,No,1.0,5533
C10243,Kia,2017,68318,Electric,Automatic,1600.0,Yes,1.0,3483
C10244,Hyundai,2011,199579,Diesel,Automatic,1000.0,No,4.0,300
C10245,Toyota,2015,115369,Diesel,Manual,1600.0,No,2.0,2788
C10246,Kia,2013,153378,Hybrid,Automatic,1600.0,Yes,4.0,953
C10247,Toyota,2012,161460,Hybrid,Automatic,2000.0,No,4.0,1814
C10248,Toyota,2022,28645,Gasoline,Manual,1600.0,Yes,2.0,4409
C10249,Benz,2011,159065,Diesel,Automatic,1600.0,No,3.0,3536
C10250,Hyundai,2012,138660,Gasoline,Automatic,2500.0,No,3.0,1036
C10251,Kia,2022,21108,Electric,Automatic,3500.0,No,4.0,4856
C10252,Benz,2020,35032,Diesel,Automatic,1600.0,No,1.0,6793
C10253,Hyundai,2022,19267,Gasoline,Automatic,2000.0,No,1.0,5296
C10254,Hyundai,2018,71422,Hybrid,Manual,1600.0,No,1.0,3868
C10255,Kia,2008,131054,Diesel,Automatic,3000.0,Yes,4.0,479
C10256,Toyota,2014,88531,Gasoline,Automatic,2000.0,Yes,1.0,2665
C10257,BMW,2015,145137,Diesel,Automatic,2500.0,No,1.0,4369
C10258,Kia,2019,68362,Gasoline,Manual,1000.0,Yes,3.0,2935
C10259,Hyundai,2016,93155,Hybrid,Automatic,2000.0,No,4.0,2980
C10260,BMW,2020,79258,Gasoline,Automatic,2000.0,No,3.0,6283
C10261,Toyota,2010,112773,Hybrid,Automatic,1600.0,Yes,2.0,1556
C10262,Hyundai,2022,31853,Diesel,Automatic,1600.0,No,3.0,4290
C10263,Kia,2016,101324,Gasoline,Manual,2000.0,No,4.0,2521
C10264,Toyota,2017,107485,Electric,Manual,2000.0,No,1.0,3800
C10265,Benz,2012,159922,Diesel,Automatic,1000.0,No,4.0,4210
C10266,BMW,2017,51682,Gasoline,Automatic,2000.0,No,3.0,6540
C10267,BMW,2013,146150,Diesel,Automatic,1600.0,No,4.0,4322
C10268,Kia,2008,224106,Hybrid,Automatic,1600.0,No,4.0,300
C10269,Hyundai,2016,51392,Gasoline,Automatic,2000.0,No,3.0,3255
C10270,Benz,2016,150657,Gasoline,Automatic,1600.0,No,,5022
C10271,Benz,2013,153269,Gasoline,Automatic,2000.0,No,2.0,4845
C10272,Toyota,2015,135143,Gasoline,Manual,1600.0,No,2.0,2955
C10273,Toyota,2011,123544,Hybrid,Automatic,2000.0,No,3.0,2333
C10274,Kia,2012,180862,Diesel,Manual,2000.0,No,4.0,300
C10275,Kia,2012,195222,Gasoline,Automatic,3500.0,No,3.0,734
C10276,Benz,2014,137607,Gasoline,Automatic,1600.0,No,1.0,4983
C10277,BMW,2014,129718,Gasoline,Manual,2500.0,No,2.0,5124
C10278,BMW,2014,103192,Electric,Automatic,1600.0,No,1.0,6329
C10279,Benz,2012,148216,Gasoline,Automatic,2000.0,Yes,4.0,3953
C10280,Toyota,2011,149030,Electric,Automatic,2000.0,Yes,1.0,2302
C10281,Hyundai,2015,132443,Diesel,Automatic,1600.0,Yes,3.0,1216
C10282,Kia,2008,167205,Gasoline,Manual,2000.0,Yes,3.0,300
C10283,Hyundai,2008,235103,Hybrid,Manual,1600.0,No,3.0,300
C10284,Kia,2013,115313,Diesel,Automatic,1000.0,No,1.0,1151
C10285,Hyundai,2009,183194,Diesel,Automatic,1600.0,No,1.0,656
C10286,Kia,2019,74240,Electric,Automatic,2000.0,No,1.0,4075
C10287,Kia,2010,152440,Gasoline,Automatic,2500.0,Yes,3.0,579
C10288,Hyundai,2011,194370,Gasoline,Automatic,1600.0,No,3.0,353
C10289,Kia,2021,43976,Hybrid,Automatic,1600.0,Yes,3.0,4029
C10290,Hyundai,2023,12187,Gasoline,Automatic,1000.0,No,1.0,5321
C10291,Hyundai,2009,247280,Gasoline,Automatic,1600.0,Yes,1.0,300
C10292,Benz,2017,92633,Gasoline,Automatic,2500.0,No,4.0,6188
C10293,Kia,2014,163068,Gasoline,Automatic,2000.0,No,2.0,1674
C10294,Hyundai,2022,36760,Hybrid,Automatic,1600.0,No,3.0,4684
C10295,Kia,2017,85932,Gasoline,Manual,,Yes,,2507
C10296,Benz,2008,238957,Diesel,Manual,2500.0,Yes,2.0,2765
C10297,Hyundai,2010,155222,Diesel,Automatic,1600.0,No,1.0,832
C10298,BMW,2009,148523,Gasoline,Automatic,1600.0,No,1.0,3748
C10299,Hyundai,2020,49654,Gasoline,Manual,2000.0,No,3.0,4166
C10300,Hyundai,2016,71297,Hybrid,Manual,2000.0,Yes,2.0,2749
C10301,Kia,2023,10187,Gasoline,Manual,2000.0,No,1.0,4795
C10302,Kia,2015,132968,Hybrid,Automatic,3000.0,No,2.0,2697
C10303,BMW,2010,160426,Hybrid,Manual,1600.0,No,2.0,3828
C10304,BMW,2012,181578,Gasoline,Automatic,2500.0,No,3.0,3834
C10305,Toyota,2010,194575,Diesel,Automatic,1600.0,No,2.0,841
C10306,Kia,2021,55660,Diesel,Manual,2000.0,No,4.0,4272
C10307,Hyundai,2018,87438,Gasoline,Automatic,3000.0,Yes,4.0,3167
C10308,Benz,2020,65370,Hybrid,Manual,2000.0,Yes,3.0,7139
C10309,Hyundai,2019,71028,Hybrid,Automatic,2500.0,No,3.0,3884
C10310,Kia,2018,83605,Gasoline,Manual,2500.0,Yes,4.0,3011
C10311,Hyundai,2019,82470,Diesel,Automatic,1600.0,No,3.0,3256
C10312,Hyundai,2018,90038,Electric,Manual,2000.0,No,2.0,3801
C10313,Toyota,2013,149932,Electric,Automatic,3000.0,No,1.0,2684
C10314,Benz,2012,163403,Diesel,Automatic,2000.0,No,3.0,4356
C10315,BMW,2018,87688,Gasoline,Automatic,1600.0,Yes,4.0,4931
C10316,Kia,2009,164788,Gasoline,Automatic,1600.0,No,1.0,418
C10317,Hyundai,2021,32575,Electric,Automatic,1600.0,No,2.0,4623
C10318,Hyundai,2017,120933,Gasoline,Automatic,1000.0,No,1.0,2050
C10319,Hyundai,2023,18593,Diesel,Automatic,2000.0,No,4.0,4792
C10320,Kia,2015,91920,Gasoline,Automatic,1000.0,Yes,1.0,1843
C10321,BMW,2013,120923,Gasoline,Automatic,1600.0,No,4.0,4388
C10322,BMW,2021,49282,Gasoline,Manual,2000.0,No,3.0,6793
C10323,Hyundai,2022,29201,Electric,Automatic,2000.0,Yes,3.0,5193
C10324,Toyota,2010,210409,Gasoline,Automatic,2000.0,No,4.0,1153
C10325,BMW,2020,62759,Diesel,Automatic,2000.0,No,3.0,6811
C10326,Kia,2022,24555,Gasoline,Automatic,1000.0,No,2.0,4364
C10327,BMW,2020,55959,Gasoline,Automatic,1000.0,No,1.0,6740
C10328,Kia,2008,220105,Gasoline,Automatic,1000.0,Yes,4.0,300
C10329,Hyundai,2012,125094,Diesel,Manual,2000.0,No,4.0,1408
C10330,Kia,2019,69726,Gasoline,Automatic,1000.0,No,4.0,3302
C10331,Benz,2018,100278,Gasoline,Automatic,2500.0,Yes,2.0,6344
C10332,Hyundai,2009,179964,Gasoline,Automatic,1600.0,No,,525
C10333,Hyundai,2020,53830,Gasoline,Automatic,3000.0,No,2.0,4485
C10334,Hyundai,2009,204301,Electric,Automatic,2000.0,No,4.0,1282
C10335,Hyundai,2016,97168,Electric,Automatic,2000.0,Yes,2.0,2916
C10336,Benz,2018,90184,Gasoline,Automatic,2500.0,No,3.0,6222
C10337,BMW,2020,43839,Diesel,Automatic,2000.0,No,1.0,7101
C10338,Kia,2022,33995,Electric,Automatic,2000.0,No,3.0,4706
C10339,Hyundai,2017,104150,Gasoline,Manual,3000.0,No,3.0,3058
C10340,Kia,2014,101896,Hybrid,Automatic,2000.0,No,2.0,2122
C10341,Kia,2013,199034,Electric,Automatic,2500.0,No,4.0,809
C10342,Hyundai,2022,27008,Gasoline,Automatic,1600.0,No,3.0,4628
C10343,Kia,2020,43324,Gasoline,Automatic,2500.0,No,1.0,3865
C10344,Kia,2008,261018,Electric,Manual,1600.0,No,2.0,300
C10345,BMW,2022,28968,Diesel,Automatic,1600.0,Yes,3.0,7090
C10346,BMW,2021,23052,Gasoline,Automatic,2000.0,No,2.0,7294
C10347,Hyundai,2017,79961,Gasoline,Manual,1600.0,No,1.0,3249
C10348,Kia,2009,207559,Gasoline,Automatic,1600.0,No,2.0,300
C10349,BMW,2018,39127,Diesel,Automatic,1600.0,No,4.0,6632
C10350,Kia,2014,132552,Hybrid,Automatic,,No,3.0,2671
C10351,Benz,2022,26947,Electric,Automatic,3000.0,No,3.0,8689
C10352,BMW,2010,132293,Gasoline,Automatic,2000.0,No,4.0,2923
C10353,Hyundai,2009,207179,Diesel,Manual,2500.0,Yes,1.0,300
