cust_id,signup_date,age,region,device,tenure_months,num_orders,avg_order_value,num_reviews,complaint_count,membership_tier
U100054,2019-05-27,53,Gyeonggi,Mobile,56,35,4.0,15,1,Gold
U100055,2022-08-09,61,Incheon,PC,17,11,6.8,4,0,Bronze
U100056,2020-11-17,38,Seoul,Mobile,38,15,11.9,2,0,Silver
U100057,2021-12-12,62,Seoul,Mobile,25,22,11.7,7,2,Silver
U100058,2021-05-16,39,Seoul,Mobile,32,14,2.8,10,1,Bronze
U100059,2022-10-08,34,Seoul,,15,12,7.1,6,0,Bronze
U100060,2022-12-07,31,Gyeonggi,Tablet,13,11,6.4,4,1,Bronze
U100061,2019-03-28,56,Seoul,Tablet,58,19,10.3,12,1,Silver
U100062,2019-11-23,29,Daegu,Mobile,50,31,4.6,14,0,Gold
U100063,2023-02-05,46,Gyeonggi,Mobile,11,15,12.7,6,1,Silver
U100064,2022-12-07,32,Seoul,PC,13,4,3.6,2,0,Bronze
U100065,2019-11-23,33,Gyeonggi,Mobile,50,21,7.6,6,0,Silver
U100066,2020-11-17,49,Seoul,,38,22,4.4,7,1,Silver
U100067,2023-12-02,34,Daegu,Mobile,1,3,10.0,1,0,Bronze
U100068,2020-10-18,34,Seoul,Tablet,39,23,1.8,11,0,Silver
U100069,2021-10-13,50,Incheon,Mobile,27,11,7.5,1,0,Bronze
U100070,2021-01-16,56,Busan,Mobile,36,16,7.4,7,1,Silver
U100071,2021-05-16,45,Seoul,PC,32,11,5.3,3,2,Bronze
U100072,2020-08-19,31,Seoul,,41,15,11.7,3,3,Silver
U100073,2022-10-08,32,Daegu,Mobile,15,7,13.1,2,0,Bronze
U100074,2021-06-15,39,Busan,Tablet,31,21,6.8,1,0,Silver
U100075,2023-07-05,42,Busan,Mobile,6,4,8.4,0,0,Bronze
U100076,2019-09-24,27,Busan,Mobile,52,32,6.1,10,2,Gold
U100077,2022-03-12,46,Seoul,Mobile,22,16,4.2,6,2,Bronze
U100078,2021-06-15,39,Gyeonggi,Mobile,31,25,4.6,3,1,Silver
U100079,2020-03-22,20,Seoul,Mobile,46,28,4.7,12,0,Silver
U100080,2018-07-01,28,Daegu,Mobile,67,42,11.7,20,3,Gold
U100081,2020-06-20,32,Busan,Mobile,43,28,9.3,11,1,Silver
U100082,2023-12-02,37,Seoul,PC,1,1,5.1,2,0,Bronze
U100083,2020-05-21,59,Seoul,Mobile,44,26,5.4,9,0,Gold
U100084,2019-04-27,41,Seoul,Mobile,57,35,5.0,9,0,Gold
U100085,2023-04-06,29,Seoul,Mobile,9,13,2.4,5,0,Bronze
U100086,2023-08-04,40,Busan,PC,5,10,9.6,6,1,Bronze
U100087,2023-04-06,34,Busan,Mobile,9,0,7.6,0,1,Bronze
U100088,2020-04-21,42,Daegu,Mobile,45,28,13.1,10,0,Gold
U100089,2022-01-11,44,Gyeonggi,Mobile,24,14,1.7,5,1,Bronze
U100090,2020-07-20,51,Seoul,Mobile,42,32,10.5,21,1,Silver
U100091,2022-03-12,38,Busan,Mobile,22,13,10.8,6,0,Silver
U100092,2019-01-27,56,Busan,PC,60,37,11.2,9,1,Gold
U100093,2020-12-17,48,Gyeonggi,Mobile,37,19,58.1,1,0,Gold
U100094,2020-10-18,30,Busan,Mobile,39,27,10.8,13,0,Gold
U100095,2019-08-25,62,Gyeonggi,Mobile,53,26,8.9,18,0,Gold
U100096,2021-09-13,42,Gyeonggi,PC,28,15,5.8,5,0,Silver
U100097,2022-10-08,29,Gyeonggi,Mobile,15,4,6.8,1,0,Bronze
U100098,2019-01-27,56,Seoul,Mobile,60,34,6.7,15,0,Gold
U100099,2019-01-27,61,Seoul,Mobile,60,33,11.5,11,1,Silver
U100100,2023-07-05,38,Seoul,Mobile,6,8,11.8,0,1,Bronze
U100101,2019-09-24,32,Busan,Mobile,52,30,10.4,15,0,Gold
U100102,2023-01-06,36,Seoul,Mobile,12,15,8.2,4,0,Bronze
U100103,2022-06-10,46,Gyeonggi,Mobile,19,10,1.8,7,1,Bronze
U100104,2023-11-02,52,Incheon,Mobile,2,0,10.5,0,1,Bronze
U100105,2019-06-26,44,Seoul,,55,32,10.3,13,2,Silver
U100106,2022-10-08,39,Gyeonggi,Mobile,15,11,8.9,7,0,Silver
U100107,2018-09-29,54,Busan,Mobile,64,47,9.4,22,0,Gold
U100108,2018-05-02,35,Seoul,PC,69,38,5.6,16,1,Gold
U100109,2022-10-08,49,Seoul,Tablet,15,17,7.0,7,1,Silver
U100110,2020-06-20,35,Seoul,Tablet,43,25,5.5,12,0,Silver
U100111,2022-08-09,43,Seoul,PC,17,8,7.5,5,0,Bronze
U100112,2022-01-11,37,Incheon,Mobile,24,18,10.6,3,0,Silver
U100113,2021-07-15,37,Daegu,PC,30,25,9.3,6,0,Silver
U100114,2018-07-01,34,Busan,Mobile,67,43,4.9,11,0,Gold
U100115,2019-10-24,53,Daegu,PC,51,24,13.5,12,0,Gold
U100116,2019-01-27,30,Daegu,Mobile,60,38,8.5,14,1,Gold
U100117,2023-10-03,30,Seoul,Mobile,3,13,6.0,8,0,Bronze
U100118,2023-08-04,61,Daegu,PC,5,0,7.1,1,0,Bronze
U100119,2021-09-13,49,Gyeonggi,Mobile,28,19,6.3,5,1,Silver
U100120,2023-02-05,20,Daegu,Mobile,11,5,8.7,2,1,Bronze
U100121,2018-02-01,32,Daegu,Tablet,72,39,4.0,14,1,Gold
U100122,2018-02-01,20,Seoul,Mobile,72,48,8.9,17,0,Gold
U100123,2022-10-08,28,Seoul,Mobile,15,0,10.5,3,3,Bronze
U100124,2020-01-22,20,Seoul,Tablet,48,27,10.0,18,0,Gold
U100125,2020-03-22,36,Gyeonggi,Mobile,46,33,8.8,17,0,Silver
U100126,2021-09-13,25,Daegu,Mobile,28,21,9.7,8,0,Bronze
U100127,2023-06-05,39,Daegu,Mobile,7,7,9.2,7,0,Bronze
U100128,2018-03-03,20,Seoul,Mobile,71,43,11.1,22,0,Gold
U100129,2023-07-05,39,Gyeonggi,PC,6,3,7.3,0,0,Bronze
U100130,2019-03-28,33,Gyeonggi,Mobile,58,32,5.3,16,1,Gold
U100131,2018-06-01,55,Seoul,Mobile,68,36,9.1,17,0,Gold
U100132,2019-06-26,54,Seoul,Mobile,55,37,11.3,18,0,Gold
U100133,2018-07-01,47,Seoul,Mobile,67,41,6.8,19,0,Gold
U100134,2019-12-23,34,Incheon,Tablet,49,34,12.8,13,0,Gold
U100135,2019-10-24,60,Seoul,,51,27,9.1,17,0,Gold
U100136,2019-02-26,21,Gyeonggi,Mobile,59,31,10.8,13,1,Gold
U100137,2023-07-05,23,Busan,Mobile,6,6,4.5,1,0,Bronze
U100138,2019-10-24,37,Gyeonggi,PC,51,19,10.4,9,0,Gold
U100139,2020-11-17,63,Incheon,Tablet,38,10,9.4,7,0,Silver
U100140,2023-02-05,36,Incheon,Mobile,11,12,14.3,5,0,Bronze
U100141,2019-09-24,36,Seoul,Mobile,52,28,9.5,12,0,Gold
U100142,2022-05-11,22,Gyeonggi,Mobile,20,13,10.0,5,0,Silver
U100143,2023-03-07,48,Seoul,PC,10,8,5.5,1,2,Bronze
U100144,2021-11-12,48,,Mobile,26,21,9.0,6,1,Silver
U100145,2020-01-22,47,Seoul,PC,48,27,11.4,7,0,Silver
U100146,2022-11-07,31,Gyeonggi,PC,14,6,7.0,7,0,Bronze
U100147,2019-02-26,30,Gyeonggi,PC,59,32,5.9,12,1,Silver
U100148,2023-01-06,24,Seoul,PC,12,10,14.0,0,1,Bronze
U100149,2022-02-10,39,Seoul,Mobile,23,17,7.2,8,1,Bronze
U100150,2018-02-01,26,Incheon,Mobile,72,50,10.7,21,0,Gold
U100151,2020-10-18,25,Seoul,Mobile,39,17,6.6,1,0,Bronze
U100152,2023-04-06,33,Seoul,Tablet,9,17,6.7,4,3,Bronze
U100153,2021-12-12,33,Gyeonggi,PC,25,13,7.6,3,0,Silver
U100154,2022-08-09,32,Incheon,PC,17,10,9.7,2,0,Bronze
U100155,2020-07-20,43,Seoul,Mobile,42,26,11.5,14,2,Gold
U100156,2021-08-14,39,Busan,Mobile,29,13,6.3,5,0,Silver
U100157,2019-01-27,35,Busan,PC,60,34,11.4,12,1,Gold
U100158,2018-07-01,40,Seoul,Mobile,67,48,8.4,23,1,Gold
U100159,2019-04-27,27,Busan,Mobile,57,42,68.5,18,0,Gold
U100160,2018-02-01,39,Gyeonggi,Mobile,72,44,9.7,12,1,Gold
U100161,2022-11-07,40,Busan,Mobile,14,14,12.3,4,0,Bronze
U100162,2020-10-18,21,Busan,Mobile,39,25,9.5,11,2,Bronze
U100163,2022-09-08,49,Gyeonggi,Mobile,16,9,5.8,1,1,Bronze
U100164,2022-07-10,28,Seoul,Mobile,18,7,8.4,9,0,Silver
U100165,2022-05-11,39,Daegu,Tablet,20,8,9.7,4,1,Bronze
U100166,2020-03-22,51,Seoul,Mobile,46,24,6.2,7,0,Silver
U100167,2020-04-21,48,Seoul,Mobile,45,35,8.8,11,1,Gold
U100168,2023-09-03,38,Seoul,Mobile,4,7,5.8,6,1,Bronze
U100169,2022-05-11,34,Gyeonggi,PC,20,19,9.9,6,4,Silver
U100170,2023-02-05,48,Busan,Mobile,11,9,12.4,5,0,Silver
U100171,2018-08-30,45,Seoul,Mobile,65,35,7.8,11,1,Gold
U100172,2022-07-10,31,Gyeonggi,Mobile,18,14,10.2,6,0,Silver
U100173,2020-10-18,29,Seoul,Mobile,39,30,11.1,10,1,Gold
U100174,2020-05-21,20,Busan,Mobile,44,30,6.7,11,1,Gold
U100175,2022-07-10,40,Seoul,PC,18,4,9.3,0,0,Bronze
U100176,2020-02-21,37,Busan,PC,47,21,11.4,11,0,Silver
U100177,2021-06-15,50,Gyeonggi,Mobile,31,22,12.9,7,0,Silver
U100178,2020-10-18,42,Incheon,Mobile,39,22,7.2,8,0,Silver
U100179,2020-11-17,53,Seoul,Tablet,38,24,4.6,9,0,Silver
U100180,2020-02-21,30,Gyeonggi,Mobile,47,25,9.8,15,0,Silver
U100181,2018-04-02,51,Seoul,PC,70,43,8.7,20,1,Gold
U100182,2023-05-06,32,Incheon,Mobile,8,0,8.1,2,0,Bronze
U100183,2018-08-30,47,Daegu,Tablet,65,40,6.4,11,2,Gold
U100184,2022-12-07,22,Seoul,PC,13,11,10.7,2,4,Bronze
U100185,2019-06-26,41,Busan,,55,37,6.2,18,0,Gold
U100186,2020-06-20,20,Daegu,PC,43,19,6.0,4,1,Silver
U100187,2023-09-03,35,Gyeonggi,Mobile,4,5,7.6,2,0,Bronze
U100188,2018-03-03,43,Gyeonggi,Tablet,71,40,10.8,13,0,Gold
U100189,2019-01-27,32,Seoul,Mobile,60,44,3.9,15,0,Gold
U100190,2023-01-06,26,Seoul,Mobile,12,12,5.0,10,1,Bronze
U100191,2019-02-26,47,Daegu,PC,59,36,5.5,17,1,Gold
U100192,2019-07-26,37,Incheon,PC,54,43,13.9,20,0,Gold
U100193,2020-05-21,33,Busan,Tablet,44,23,8.8,12,1,Silver
U100194,2022-09-08,38,Seoul,Mobile,16,9,4.9,3,0,Bronze
U100195,2023-07-05,67,Gyeonggi,,6,6,7.6,0,0,Bronze
U100196,2022-11-07,51,Busan,PC,14,19,10.3,6,0,Silver
U100197,2019-03-28,51,Daegu,Mobile,58,42,14.0,16,0,Gold
U100198,2021-06-15,43,Daegu,Mobile,31,23,3.4,15,3,Silver
U100199,2020-08-19,40,Busan,Mobile,41,20,4.8,4,0,Silver
U100200,2021-02-15,20,Busan,Mobile,35,17,7.0,5,0,Silver
U100201,2023-03-07,31,Seoul,Tablet,10,9,7.1,1,1,Bronze
U100202,2021-07-15,33,Seoul,PC,30,12,7.0,8,0,Bronze
U100203,2020-05-21,20,Daegu,PC,44,28,7.7,17,2,Gold
U100204,2019-06-26,25,Gyeonggi,Tablet,55,37,14.1,16,1,Gold
U100205,2018-03-03,20,Seoul,Mobile,71,35,4.2,15,1,Gold
U100206,2022-07-10,38,,PC,18,14,8.5,6,1,Bronze
U100207,2020-10-18,47,Busan,Mobile,39,28,9.7,13,0,Silver
U100208,2020-07-20,50,Seoul,PC,42,23,3.6,12,0,Silver
U100209,2019-07-26,43,Seoul,Mobile,54,32,12.3,14,0,Gold
U100210,2021-07-15,27,Gyeonggi,Tablet,30,9,7.5,5,0,Bronze
U100211,2022-05-11,20,Busan,Mobile,20,11,4.7,7,1,Bronze
U100212,2020-07-20,20,Busan,Mobile,42,18,12.6,2,0,Silver
U100213,2023-08-04,24,Seoul,PC,5,0,10.0,0,0,Bronze
U100214,2019-11-23,28,Busan,Mobile,50,28,6.4,12,1,Silver
U100215,2020-08-19,36,Seoul,Mobile,41,19,10.2,9,0,Silver
U100216,2020-10-18,27,Seoul,Mobile,39,17,9.2,6,0,Silver
U100217,2019-04-27,42,Busan,PC,57,28,3.4,12,1,Silver
U100218,2019-04-27,35,Busan,Mobile,57,40,3.7,14,0,Gold
U100219,2020-12-17,38,Daegu,Mobile,37,22,9.0,3,0,Silver
U100220,2023-06-05,51,Busan,Mobile,7,11,2.7,7,1,Bronze
U100221,2023-08-04,25,Gyeonggi,Mobile,5,1,11.0,0,1,Bronze
U100222,2019-10-24,43,Seoul,Mobile,51,29,3.9,11,0,Silver
U100223,2023-05-06,38,,Mobile,8,3,10.8,0,0,Bronze
U100224,2019-05-27,34,Seoul,Mobile,56,19,12.3,12,1,Silver
U100225,2023-02-05,48,Seoul,Mobile,11,9,9.5,3,0,Bronze
U100226,2022-03-12,48,Incheon,Mobile,22,13,1.0,4,1,Bronze
U100227,2023-02-05,28,Gyeonggi,PC,11,7,11.4,5,0,Bronze
U100228,2019-01-27,36,Daegu,Mobile,60,26,6.7,17,0,Gold
U100229,2022-10-08,41,Busan,Mobile,15,9,7.8,5,2,Bronze
U100230,2020-11-17,35,Daegu,PC,38,21,5.8,7,0,Silver
U100231,2023-12-02,44,Gyeonggi,Mobile,1,1,13.0,2,0,Bronze
U100232,2020-03-22,41,Gyeonggi,PC,46,27,8.5,6,1,Silver
U100233,2020-06-20,58,Gyeonggi,Mobile,43,23,6.8,9,0,Silver
U100234,2022-03-12,21,Seoul,Mobile,22,16,12.0,12,1,Silver
U100235,2023-10-03,37,Busan,Mobile,3,7,10.6,3,1,Bronze
U100236,2022-11-07,28,Seoul,PC,14,6,4.6,3,1,Bronze
U100237,2023-11-02,45,,PC,2,0,9.0,0,0,Bronze
U100238,2018-12-28,20,Busan,Mobile,61,30,8.7,11,3,Gold
U100239,2021-05-16,42,Seoul,Mobile,32,21,3.6,9,0,Silver
U100240,2020-11-17,31,Incheon,Tablet,38,29,10.5,14,1,Silver
U100241,2020-03-22,30,Incheon,Mobile,46,19,68.3,7,1,Gold
U100242,2020-07-20,22,Incheon,Mobile,42,20,14.5,1,0,Silver
U100243,2023-07-05,33,Gyeonggi,Tablet,6,2,12.2,2,1,Bronze
U100244,2020-08-19,50,Seoul,PC,41,14,8.7,12,1,Silver
U100245,2021-12-12,38,Incheon,Mobile,25,15,7.7,5,1,Silver
U100246,2023-02-05,45,Gyeonggi,PC,11,8,1.9,0,0,Bronze
U100247,2020-08-19,56,Incheon,PC,41,27,10.5,13,1,Silver
U100248,2018-03-03,41,Incheon,Mobile,71,41,7.8,22,3,Gold
U100249,2019-04-27,32,Daegu,Mobile,57,32,6.6,14,0,Gold
U100250,2020-03-22,43,Seoul,,46,22,8.1,14,2,Silver
U100251,2020-01-22,32,Gyeonggi,Tablet,48,20,12.7,10,1,Silver
U100252,2018-10-29,32,Daegu,PC,63,37,12.1,17,0,Gold
U100253,2020-10-18,21,Seoul,Mobile,39,25,12.1,8,1,Silver
U100254,2023-03-07,48,Seoul,PC,10,6,4.9,3,0,Bronze
U100255,2018-04-02,34,Gyeonggi,Mobile,70,48,12.7,19,0,Gold
U100256,2018-08-30,40,Incheon,Mobile,65,41,6.5,16,3,Gold
U100257,2019-02-26,27,Busan,Mobile,59,39,10.2,15,0,Gold
U100258,2021-01-16,43,Gyeonggi,Mobile,36,22,9.9,9,0,Silver
U100259,2021-10-13,30,Seoul,PC,27,25,7.6,6,0,Silver
U100260,2019-06-26,36,Gyeonggi,Mobile,55,31,8.6,15,0,Gold
U100261,2018-04-02,48,Incheon,PC,70,45,3.1,15,0,Gold
U100262,2019-08-25,47,Seoul,Mobile,53,33,8.2,12,0,Gold
U100263,2019-01-27,38,Gyeonggi,Mobile,60,40,7.3,17,0,Gold
U100264,2018-12-28,20,Daegu,Tablet,61,38,14.6,12,0,Gold
U100265,2021-01-16,68,Busan,Mobile,36,21,8.1,3,3,Silver
U100266,2021-10-13,57,Busan,Mobile,27,18,5.9,6,0,Silver
U100267,2020-08-19,46,Busan,Mobile,41,27,8.3,7,1,Gold
U100268,2021-09-13,30,Gyeonggi,PC,28,20,6.0,10,0,Silver
U100269,2022-09-08,37,Seoul,Mobile,16,17,3.7,3,1,Bronze
U100270,2021-02-15,32,Daegu,Mobile,35,22,9.2,13,0,Silver
U100271,2021-01-16,52,Daegu,Mobile,36,16,8.0,6,1,Silver
U100272,2019-05-27,41,Daegu,Mobile,56,34,11.0,14,1,Gold
U100273,2022-06-10,29,Incheon,PC,19,9,12.4,0,0,Bronze
U100274,2019-04-27,33,Gyeonggi,Mobile,57,32,13.7,13,0,Gold
U100275,2021-04-16,50,Gyeonggi,Mobile,33,18,8.7,7,3,Silver
U100276,2022-02-10,56,Daegu,Mobile,23,9,49.1,0,0,Gold
U100277,2018-10-29,55,Busan,Mobile,63,26,8.8,11,0,Silver
U100278,2018-04-02,46,Busan,Tablet,70,49,1.0,18,0,Gold
U100279,2022-03-12,35,,Mobile,22,11,11.7,4,0,Bronze
U100280,2018-07-01,20,Daegu,Tablet,67,32,9.6,13,1,Gold
U100281,2019-02-26,41,Seoul,Mobile,59,36,9.7,13,1,Gold
U100282,2021-12-12,38,Gyeonggi,Mobile,25,18,6.5,8,0,Silver
U100283,2022-08-09,40,Seoul,PC,17,9,6.1,3,1,Bronze
U100284,2020-10-18,39,Gyeonggi,Mobile,39,17,7.8,8,2,Silver
U100285,2020-10-18,23,Seoul,PC,39,16,9.7,5,0,Silver
U100286,2022-01-11,44,Gyeonggi,Tablet,24,26,2.1,7,0,Silver
U100287,2020-11-17,45,Gyeonggi,Mobile,38,16,8.6,4,0,Silver
U100288,2019-04-27,46,Seoul,Mobile,57,26,62.2,15,2,Gold
U100289,2020-05-21,48,Gyeonggi,PC,44,25,7.6,13,0,Silver
U100290,2021-01-16,45,Seoul,Mobile,36,26,2.1,14,0,Silver
U100291,2018-04-02,33,Seoul,Mobile,70,50,7.4,24,0,Gold
U100292,2020-04-21,37,Daegu,,45,26,8.9,9,1,Gold
U100293,2021-11-12,39,Gyeonggi,Mobile,26,14,9.1,6,0,Bronze
U100294,2023-02-05,39,Seoul,PC,11,0,8.5,0,0,Bronze
U100295,2019-09-24,49,Gyeonggi,Mobile,52,37,13.8,17,0,Gold
U100296,2021-12-12,45,Busan,Mobile,25,15,8.4,5,0,Bronze
U100297,2021-06-15,61,Seoul,Mobile,31,18,8.6,7,0,Silver
U100298,2020-04-21,62,Busan,Mobile,45,29,6.3,12,1,Silver
U100299,2018-07-01,39,Seoul,Mobile,67,42,10.8,18,0,Gold
U100300,2020-09-18,20,Seoul,PC,40,23,13.1,11,0,Silver
U100301,2020-03-22,52,Gyeonggi,Mobile,46,34,6.1,14,1,Silver
U100302,2019-07-26,32,Gyeonggi,PC,54,24,7.7,10,0,Silver
U100303,2020-08-19,29,Busan,PC,41,26,1.0,11,0,Silver
U100304,2020-11-17,34,Busan,Mobile,38,25,5.5,15,0,Silver
U100305,2021-01-16,33,Incheon,Mobile,36,20,13.9,3,0,Silver
U100306,2020-05-21,45,Gyeonggi,Mobile,44,29,7.1,9,0,Gold
U100307,2019-04-27,21,Seoul,Mobile,57,38,8.7,17,0,Gold
U100308,2018-07-31,26,,PC,66,45,5.8,19,1,Gold
U100309,2021-07-15,42,Seoul,PC,30,17,9.3,8,2,Bronze
U100310,2023-03-07,45,Gyeonggi,Mobile,10,5,7.5,4,1,Bronze
U100311,2018-12-28,45,Seoul,Mobile,61,39,9.2,16,1,Gold
U100312,2018-10-29,29,Seoul,Tablet,63,37,8.3,13,0,Gold
U100313,2021-01-16,27,Incheon,Tablet,36,14,12.3,7,0,Silver
U100314,2019-07-26,32,Daegu,Mobile,54,37,8.5,15,0,Gold
U100315,2018-08-30,41,Busan,Mobile,65,30,5.5,11,1,Gold
U100316,2023-09-03,54,Gyeonggi,Mobile,4,4,6.1,4,0,Bronze
U100317,2019-06-26,20,Seoul,Tablet,55,46,2.4,20,1,Gold
U100318,2019-07-26,36,Seoul,Mobile,54,35,8.4,15,1,Gold
U100319,2018-09-29,23,Seoul,Mobile,64,35,7.8,19,0,Gold
U100320,2022-03-12,20,Gyeonggi,Mobile,22,11,12.5,8,0,Silver
U100321,2021-12-12,49,Busan,Mobile,25,17,4.5,10,2,Silver
U100322,2019-02-26,44,Busan,Mobile,59,35,5.9,22,0,Gold
U100323,2019-04-27,43,Seoul,Tablet,57,38,5.9,15,2,Gold
U100324,2019-07-26,48,Incheon,Mobile,54,40,7.2,15,1,Gold
U100325,2020-05-21,33,Busan,Mobile,44,33,4.2,16,0,Silver
U100326,2019-09-24,33,Gyeonggi,Mobile,52,25,7.2,9,0,Silver
U100327,2022-09-08,62,Gyeonggi,Mobile,16,10,8.1,4,0,Silver
U100328,2022-09-08,35,Gyeonggi,Mobile,16,12,8.1,2,1,Silver
U100329,2019-06-26,46,Seoul,Mobile,55,41,11.8,18,2,Gold
U100330,2018-12-28,38,Gyeonggi,Mobile,61,38,7.9,11,0,Gold
U100331,2020-09-18,20,Busan,Mobile,40,21,7.8,8,1,Silver
U100332,2022-04-11,20,Seoul,Mobile,21,15,11.4,6,0,Bronze
U100333,2018-07-31,32,Seoul,Mobile,66,49,8.0,18,2,Gold
U100334,2023-05-06,50,Seoul,Tablet,8,4,4.4,0,0,Bronze
U100335,2018-03-03,47,Seoul,Tablet,71,39,4.8,10,0,Gold
U100336,2023-03-07,48,Daegu,Mobile,10,6,4.8,0,2,Bronze
U100337,2019-04-27,27,Busan,Mobile,57,31,4.3,14,2,Gold
U100338,2023-09-03,56,Gyeonggi,Tablet,4,7,14.0,4,1,Bronze
U100339,2020-06-20,27,Seoul,Mobile,43,23,4.8,9,1,Silver
U100340,2018-10-29,40,Gyeonggi,PC,63,44,7.9,15,1,Gold
U100341,2020-06-20,38,Gyeonggi,Tablet,43,28,8.2,12,0,Gold
U100342,2018-07-01,36,Seoul,Mobile,67,44,7.5,12,0,Gold
U100343,2019-10-24,53,Gyeonggi,Mobile,51,34,5.7,6,1,Gold
U100344,2019-05-27,30,Gyeonggi,Tablet,56,38,9.4,14,1,Gold
U100345,2020-06-20,23,Gyeonggi,Mobile,43,24,3.4,8,1,Silver
U100346,2022-01-11,38,Busan,Mobile,24,10,4.8,7,0,Bronze
U100347,2021-03-17,34,Seoul,,34,18,51.8,8,0,Gold
U100348,2019-02-26,68,Gyeonggi,Mobile,59,40,4.7,21,0,Gold
U100349,2023-11-02,45,Busan,PC,2,0,11.9,0,1,Bronze
U100350,2023-11-02,33,Gyeonggi,PC,2,0,12.1,1,0,Bronze
U100351,2023-03-07,26,Daegu,Tablet,10,7,12.2,2,1,Bronze
U100352,2022-02-10,20,Busan,Mobile,23,18,10.5,11,0,Silver
U100353,2022-10-08,27,Seoul,Mobile,15,14,3.9,5,0,Bronze
