customer_id,gender,senior,partner,age,tenure,contract,internet_service,payment_method,num_services,support_calls,satisfaction,monthly_charge,churn
C100185,Male,0,No,48.0,23,Month-to-month,No,Electronic check,1,1,4,19.54,No
C100186,Female,0,No,52.0,4,One year,No,Mailed check,2,2,5,28.94,No
C100187,Male,0,Yes,52.0,10,Month-to-month,Fiber optic,Bank transfer,1,1,4,80.26,No
C100188,Male,0,Yes,19.0,17,One year,Fiber optic,Mailed check,5,1,4,104.2,No
C100189,Female,0,No,55.0,1,One year,Fiber optic,Bank transfer,1,1,5,75.23,No
C100190,Male,0,Yes,35.0,4,Month-to-month,DSL,Mailed check,4,1,5,62.05,No
C100191,Male,0,No,29.0,3,Month-to-month,DSL,Electronic check,3,3,4,46.54,No
C100192,Male,0,Yes,28.0,23,One year,Fiber optic,Credit card,4,4,5,109.98,No
C100193,Male,0,No,52.0,37,One year,No,Credit card,1,0,4,26.11,No
C100194,Male,1,No,42.0,6,Month-to-month,DSL,Electronic check,3,1,5,63.47,No
C100195,Female,0,No,20.0,3,Month-to-month,Fiber optic,Mailed check,3,2,4,87.45,No
C100196,Female,0,Yes,52.0,2,Month-to-month,No,Bank transfer,2,1,4,32.64,No
C100197,Female,0,No,23.0,24,Month-to-month,DSL,Electronic check,2,1,3,55.89,No
C100198,Male,0,Yes,47.0,5,Month-to-month,DSL,Bank transfer,5,3,3,87.11,Yes
C100199,Male,0,Yes,49.0,0,Month-to-month,Fiber optic,Mailed check,3,0,4,89.6,Yes
C100200,Male,0,No,58.0,5,Month-to-month,DSL,Electronic check,3,0,4,60.8,No
C100201,Female,1,No,72.0,2,Month-to-month,DSL,Electronic check,2,1,4,65.35,Yes
C100202,Male,0,No,25.0,9,Month-to-month,Fiber optic,Bank transfer,3,0,4,97.64,No
C100203,Male,0,Yes,,24,Two year,Fiber optic,Electronic check,4,2,3,90.57,No
C100204,Female,0,Yes,41.0,12,One year,No,Electronic check,4,0,5,47.72,No
C100205,Male,0,Yes,52.0,6,Two year,Fiber optic,Bank transfer,5,1,3,113.48,No
C100206,Female,0,No,48.0,8,Month-to-month,Fiber optic,Bank transfer,6,3,4,121.11,Yes
C100207,Female,0,No,40.0,14,One year,Fiber optic,Electronic check,4,1,4,90.38,No
C100208,Female,0,No,38.0,8,Month-to-month,No,Credit card,0,1,4,19.77,Yes
C100209,Male,0,No,28.0,11,One year,DSL,Bank transfer,0,1,4,37.38,No
C100210,Male,0,Yes,60.0,14,Month-to-month,DSL,Mailed check,6,1,3,87.01,No
C100211,Male,0,Yes,52.0,16,Month-to-month,No,Mailed check,4,1,5,45.08,Yes
C100212,Male,0,Yes,59.0,7,Two year,No,Bank transfer,1,1,5,34.41,No
C100213,Male,0,Yes,40.0,26,One year,DSL,Electronic check,2,0,5,60.74,No
C100214,Male,0,Yes,35.0,51,Two year,DSL,Mailed check,2,1,4,50.64,No
C100215,Male,0,No,29.0,32,Month-to-month,Fiber optic,Bank transfer,2,4,3,87.57,No
C100216,Female,0,Yes,50.0,9,Month-to-month,DSL,Mailed check,3,1,3,57.76,No
C100217,Male,1,No,29.0,6,Month-to-month,Fiber optic,Bank transfer,2,4,4,82.48,Yes
C100218,Female,1,Yes,73.0,29,One year,DSL,Mailed check,0,1,4,44.41,No
C100219,Male,0,No,25.0,11,One year,DSL,Electronic check,1,2,5,52.34,No
C100220,Male,1,No,49.0,53,Two year,Fiber optic,Mailed check,4,3,4,95.23,No
C100221,Male,0,No,69.0,7,Month-to-month,No,Mailed check,7,0,5,62.86,No
C100222,Female,0,Yes,,9,One year,Fiber optic,Bank transfer,2,3,4,77.56,No
C100223,Female,0,No,48.0,9,Month-to-month,Fiber optic,Bank transfer,2,4,4,73.7,No
C100224,Female,0,No,30.0,7,Month-to-month,No,Mailed check,1,2,5,38.49,No
C100225,Female,0,Yes,24.0,6,Month-to-month,Fiber optic,Credit card,4,2,3,96.15,Yes
C100226,Male,0,Yes,57.0,1,Month-to-month,Fiber optic,Electronic check,4,1,4,97.58,Yes
C100227,Female,0,Yes,68.0,17,Month-to-month,Fiber optic,Electronic check,4,3,4,96.44,No
C100228,Male,0,No,38.0,17,Month-to-month,DSL,Mailed check,1,2,4,54.57,No
C100229,Male,0,No,28.0,11,Month-to-month,Fiber optic,Electronic check,4,2,3,100.14,Yes
C100230,Female,0,No,19.0,12,Month-to-month,Fiber optic,Bank transfer,2,3,2,93.24,Yes
C100231,Female,0,Yes,30.0,4,Month-to-month,DSL,Electronic check,3,2,4,64.97,Yes
C100232,Female,0,Yes,43.0,0,Month-to-month,DSL,Electronic check,1,1,2,50.84,Yes
C100233,Female,1,No,69.0,10,Month-to-month,DSL,Electronic check,4,1,2,79.08,Yes
C100234,Female,1,Yes,55.0,22,Two year,Fiber optic,Bank transfer,5,1,4,105.39,No
C100235,Female,0,No,50.0,28,Two year,DSL,Credit card,1,1,4,50.62,No
C100236,Female,1,No,39.0,0,Month-to-month,DSL,Credit card,3,1,3,64.24,Yes
C100237,Female,0,Yes,36.0,40,Two year,No,Electronic check,3,1,5,47.58,No
C100238,Male,1,No,66.0,7,One year,Fiber optic,Mailed check,2,0,3,92.34,No
C100239,Female,0,Yes,48.0,3,Month-to-month,DSL,Electronic check,4,2,3,69.46,No
C100240,Female,0,No,19.0,26,Month-to-month,Fiber optic,Electronic check,4,1,5,83.76,No
C100241,Male,0,Yes,35.0,65,Two year,DSL,Credit card,1,1,5,53.5,No
C100242,Female,0,No,32.0,2,One year,Fiber optic,Mailed check,4,1,4,103.91,No
C100243,Male,0,Yes,37.0,13,Two year,Fiber optic,Electronic check,2,1,4,93.41,Yes
C100244,Male,0,Yes,53.0,19,Two year,Fiber optic,Mailed check,4,2,5,97.59,No
C100245,Female,0,No,43.0,20,Month-to-month,Fiber optic,Electronic check,3,0,2,97.56,Yes
C100246,Male,0,Yes,44.0,14,Month-to-month,DSL,Mailed check,2,4,3,60.19,Yes
C100247,Male,0,No,65.0,2,Month-to-month,Fiber optic,Mailed check,2,2,3,72.8,No
C100248,Male,0,Yes,35.0,9,Month-to-month,DSL,Mailed check,3,0,4,70.85,No
C100249,Male,0,No,73.0,6,Month-to-month,DSL,Credit card,2,0,5,55.86,No
C100250,Female,0,Yes,,6,Month-to-month,No,Mailed check,2,3,5,33.66,No
C100251,Male,0,No,46.0,5,Month-to-month,Fiber optic,Credit card,5,4,3,100.64,Yes
C100252,Female,0,Yes,41.0,6,Month-to-month,No,Bank transfer,3,1,4,42.89,Yes
C100253,Male,0,Yes,47.0,13,Month-to-month,DSL,Bank transfer,3,1,3,65.54,Yes
C100254,Male,1,Yes,52.0,7,Month-to-month,Fiber optic,Mailed check,3,2,4,84.32,No
C100255,Male,0,No,52.0,8,Month-to-month,DSL,Electronic check,4,2,3,64.2,No
C100256,Male,0,Yes,34.0,14,Month-to-month,Fiber optic,Bank transfer,5,0,3,114.92,No
C100257,Female,1,No,28.0,22,One year,DSL,Mailed check,7,3,3,95.58,No
C100258,Female,0,No,83.0,43,Two year,DSL,Electronic check,3,4,4,60.69,No
C100259,Male,0,Yes,38.0,4,Month-to-month,DSL,Mailed check,3,3,4,60.78,Yes
C100260,Male,0,No,55.0,8,Month-to-month,Fiber optic,Bank transfer,7,2,2,110.79,Yes
C100261,Female,0,Yes,21.0,24,Two year,DSL,Credit card,1,1,4,45.18,No
C100262,Male,0,Yes,41.0,7,Month-to-month,No,Mailed check,3,2,5,39.41,No
C100263,Male,0,No,43.0,12,One year,DSL,Mailed check,3,0,4,74.49,No
C100264,Male,0,No,52.0,21,Month-to-month,DSL,Credit card,3,2,3,60.8,No
C100265,Female,1,No,19.0,17,Two year,Fiber optic,Electronic check,5,3,5,108.22,No
C100266,Female,0,Yes,47.0,53,Two year,No,Electronic check,1,0,4,20.9,No
C100267,Female,0,Yes,28.0,56,One year,DSL,Electronic check,2,0,5,56.34,No
C100268,Male,0,Yes,50.0,3,Month-to-month,DSL,Credit card,1,1,4,53.4,No
C100269,Male,0,No,29.0,6,Two year,Fiber optic,Electronic check,3,0,5,106.28,No
C100270,Female,0,No,32.0,2,One year,DSL,Electronic check,2,1,4,65.22,No
C100271,Female,0,No,41.0,35,One year,Fiber optic,Mailed check,2,4,4,95.21,No
C100272,Female,0,Yes,29.0,18,Month-to-month,DSL,Credit card,4,0,5,65.83,No
C100273,Female,0,Yes,38.0,6,One year,Fiber optic,Credit card,2,3,5,80.6,No
C100274,Male,0,Yes,27.0,14,Month-to-month,DSL,Mailed check,4,0,5,69.0,No
C100275,Female,0,Yes,19.0,4,Month-to-month,Fiber optic,Credit card,2,4,4,82.74,No
C100276,Male,0,Yes,60.0,17,One year,Fiber optic,Electronic check,1,0,4,77.91,No
C100277,Female,0,No,26.0,17,Month-to-month,Fiber optic,Electronic check,2,1,3,88.93,Yes
C100278,Male,0,No,42.0,22,One year,Fiber optic,Credit card,1,1,4,85.49,Yes
C100279,Female,0,No,56.0,8,One year,No,Mailed check,4,1,4,52.43,No
C100280,Female,0,Yes,36.0,9,Month-to-month,DSL,Electronic check,5,1,4,78.6,Yes
C100281,Female,1,Yes,33.0,12,One year,DSL,Mailed check,0,1,3,49.04,No
C100282,Female,1,No,48.0,43,Two year,Fiber optic,Bank transfer,4,1,5,96.3,No
C100283,Male,0,Yes,62.0,11,Month-to-month,Fiber optic,Credit card,4,2,4,107.48,Yes
C100284,Female,1,No,27.0,22,One year,DSL,Credit card,3,2,3,71.46,Yes
C100285,Male,0,No,43.0,4,Month-to-month,Fiber optic,Mailed check,2,2,4,84.02,Yes
C100286,Male,1,Yes,19.0,3,Month-to-month,Fiber optic,Credit card,4,1,4,107.95,No
C100287,Male,0,No,,9,Month-to-month,Fiber optic,Mailed check,6,1,4,111.78,No
C100288,Male,1,Yes,46.0,16,Month-to-month,No,Bank transfer,3,3,4,48.94,Yes
C100289,Female,1,No,,24,Month-to-month,Fiber optic,Bank transfer,4,1,4,100.33,No
C100290,Male,0,No,38.0,4,Two year,DSL,Mailed check,0,0,5,43.59,No
C100291,Male,1,Yes,24.0,17,One year,Fiber optic,Electronic check,5,1,5,96.89,No
C100292,Male,0,Yes,46.0,17,Month-to-month,Fiber optic,Mailed check,3,1,5,89.78,No
C100293,Female,0,No,61.0,13,Month-to-month,DSL,Bank transfer,3,1,4,74.65,No
C100294,Female,0,No,29.0,11,Month-to-month,Fiber optic,Electronic check,4,0,3,117.68,No
C100295,Female,0,Yes,36.0,17,Month-to-month,No,Electronic check,1,0,4,29.12,No
C100296,Female,0,No,53.0,3,Month-to-month,DSL,Electronic check,5,0,5,71.55,No
