customer_id,age,income,loan_amount,credit_score,employment_years,debt_to_income,num_credit_lines,home_ownership,loan_purpose,default
L200180,46,5394,2255,574.0,6.0,32.2,4,Rent,Car,Yes
L200181,31,4197,1738,643.0,2.0,15.2,6,,Personal,Yes
L200182,29,4639,1323,808.0,14.0,6.3,9,Mortgage,Car,No
L200183,45,5662,6208,657.0,15.0,44.6,7,Own,Business,No
L200184,38,6873,8109,807.0,15.0,59.1,8,Own,Education,No
L200185,47,1500,1732,658.0,0.0,50.3,8,Mortgage,Business,Yes
L200186,45,4336,4562,671.0,16.0,41.0,2,Own,Education,No
L200187,39,5385,5637,702.0,6.0,25.3,7,,Business,No
L200188,32,3348,2883,640.0,18.0,34.0,3,Own,Car,Yes
L200189,25,8116,8329,676.0,11.0,47.3,7,Mortgage,Car,Yes
L200190,36,3856,1575,541.0,9.0,24.0,2,Mortgage,Personal,Yes
L200191,49,4926,2896,598.0,8.0,34.0,1,Mortgage,Personal,Yes
L200192,42,6001,5046,542.0,8.0,28.2,11,Mortgage,Personal,Yes
L200193,28,3936,4230,711.0,5.0,39.8,9,Own,Education,No
L200194,42,1676,1442,565.0,3.0,33.5,10,Rent,Education,Yes
L200195,44,4228,4393,759.0,6.0,47.2,10,,Education,No
L200196,31,6853,4619,685.0,14.0,24.9,1,Mortgage,House,No
L200197,42,4394,4031,727.0,1.0,40.9,11,Own,Personal,Yes
L200198,41,3476,4102,615.0,15.0,44.1,1,Mortgage,Personal,Yes
L200199,29,6666,2356,581.0,9.0,8.5,11,Own,Personal,No
L200200,44,4405,4964,636.0,12.0,54.0,3,Mortgage,Education,No
L200201,46,4082,2949,734.0,12.0,31.4,1,Rent,House,No
L200202,51,5269,4443,808.0,13.0,39.7,7,Rent,Personal,No
L200203,51,6387,6884,696.0,8.0,41.5,7,Rent,Personal,No
L200204,26,9287,5662,568.0,8.0,30.8,11,Own,Personal,Yes
L200205,31,6489,4015,592.0,12.0,16.2,8,Rent,Business,No
L200206,45,7088,5154,,3.0,21.9,2,Rent,Personal,Yes
L200207,45,4089,896,651.0,2.0,16.3,7,Rent,Car,No
L200208,45,3153,2197,641.0,6.0,27.3,9,Mortgage,Business,No
L200209,70,5112,2510,,9.0,17.7,11,Rent,Car,Yes
L200210,46,5193,5857,585.0,18.0,37.8,10,Rent,Personal,Yes
L200211,51,3059,880,578.0,8.0,17.9,5,Mortgage,Business,No
L200212,50,4684,3088,667.0,18.0,41.3,10,Mortgage,Car,No
L200213,47,5719,6562,694.0,11.0,50.8,3,Own,Business,No
L200214,37,5649,6220,577.0,6.0,40.5,9,Mortgage,Car,Yes
L200215,48,5908,5325,693.0,14.0,47.1,1,Mortgage,Car,No
L200216,32,5524,4360,726.0,7.0,34.4,3,Mortgage,Car,No
L200217,38,4087,1965,497.0,9.0,15.8,2,Mortgage,Education,No
L200218,35,4075,2310,770.0,1.0,32.9,2,Rent,Car,Yes
L200219,41,2842,825,709.0,0.0,10.2,3,Own,Car,No
L200220,63,8213,8099,727.0,11.0,27.9,10,Rent,House,No
L200221,21,5024,2632,589.0,14.0,18.4,7,Rent,Car,No
L200222,47,4595,3987,715.0,18.0,39.0,6,Own,House,No
L200223,24,3328,1856,723.0,4.0,16.6,9,Own,Business,No
L200224,35,10284,6832,614.0,15.0,11.6,10,Rent,Business,No
L200225,51,3068,2316,715.0,15.0,42.0,11,Rent,Personal,No
L200226,41,4228,4236,650.0,6.0,64.0,10,Own,Car,Yes
L200227,29,5749,2364,617.0,15.0,12.6,3,Rent,Personal,No
L200228,33,6080,3640,646.0,13.0,18.9,5,Mortgage,House,No
L200229,47,6724,2219,672.0,14.0,5.0,9,Own,House,No
L200230,33,8254,2276,639.0,19.0,5.0,3,Mortgage,House,No
L200231,42,5911,4756,605.0,14.0,20.0,8,Rent,Car,Yes
L200232,40,3099,1206,688.0,0.0,5.1,9,Own,Education,No
L200233,33,4537,1179,699.0,,10.4,11,Own,Personal,No
L200234,61,5554,6093,670.0,0.0,31.2,11,Rent,Personal,Yes
L200235,46,42212,20000,547.0,,7.2,7,Own,Personal,Yes
L200236,20,2484,831,619.0,8.0,15.0,6,Mortgage,Personal,No
L200237,42,7165,1816,601.0,5.0,5.2,11,Mortgage,Business,No
L200238,33,5324,1703,781.0,3.0,15.6,6,Mortgage,Education,No
L200239,49,6508,4369,668.0,5.0,24.1,6,Rent,Personal,Yes
L200240,32,4816,4183,,6.0,33.3,5,Rent,Personal,No
L200241,39,3484,2931,621.0,7.0,39.9,7,Own,Car,Yes
L200242,45,6352,2188,651.0,9.0,9.4,7,Rent,Business,No
L200243,49,6178,5149,713.0,11.0,39.0,7,Rent,Education,No
L200244,28,6750,4083,532.0,6.0,20.8,3,Rent,Business,Yes
L200245,37,4976,3308,676.0,14.0,20.0,11,Mortgage,Personal,No
L200246,35,3920,3926,625.0,8.0,31.5,6,Rent,Business,Yes
L200247,33,2194,1168,690.0,13.0,8.0,9,Mortgage,Personal,No
L200248,58,6475,2247,716.0,6.0,5.0,9,Rent,Personal,No
L200249,44,5763,6186,611.0,22.0,28.7,4,Rent,Car,No
L200250,27,3262,1344,564.0,10.0,8.5,9,Mortgage,Car,No
L200251,49,4031,1991,639.0,16.0,26.3,2,Own,House,No
L200252,61,4160,3771,750.0,5.0,36.2,8,,Personal,No
L200253,50,2331,2060,718.0,6.0,32.2,2,Rent,Car,No
L200254,25,3528,3529,634.0,7.0,34.5,5,Own,Business,Yes
L200255,35,2959,1136,616.0,20.0,14.7,6,Rent,Education,No
L200256,53,4258,2352,621.0,7.0,22.3,2,Rent,Personal,No
L200257,33,3670,1196,569.0,4.0,5.0,9,Own,Car,No
L200258,44,2071,1535,715.0,,33.4,6,Mortgage,Car,No
L200259,48,8641,4256,728.0,8.0,17.1,8,Rent,House,No
L200260,31,7255,6449,633.0,7.0,37.9,4,Rent,Education,No
L200261,39,3598,721,625.0,5.0,7.8,3,Rent,House,No
L200262,20,5490,1426,611.0,10.0,5.0,4,Mortgage,Personal,No
L200263,30,5751,3638,628.0,13.0,35.7,1,Own,House,Yes
L200264,37,7144,8274,609.0,,46.2,1,Rent,Business,Yes
L200265,28,3527,3847,649.0,6.0,40.7,8,Rent,Personal,Yes
L200266,56,6966,8317,715.0,3.0,52.4,1,Mortgage,Business,Yes
L200267,26,4014,2476,708.0,0.0,15.4,5,Rent,House,No
L200268,36,2595,640,601.0,3.0,5.0,10,Own,Personal,No
L200269,41,6303,3189,671.0,6.0,24.7,9,Rent,Car,No
L200270,54,7323,6413,705.0,8.0,44.2,3,Rent,House,No
L200271,26,9658,3237,594.0,7.0,15.7,10,Own,House,No
L200272,52,2840,1420,670.0,22.0,26.4,2,,Car,No
L200273,40,6258,1603,745.0,10.0,5.0,5,Own,Business,No
L200274,30,4262,2877,643.0,2.0,24.1,2,Own,Education,No
L200275,45,6410,2621,519.0,11.0,11.1,10,Own,House,Yes
L200276,42,2353,685,484.0,10.0,19.9,1,Rent,House,Yes
L200277,34,2727,1667,,3.0,28.4,11,Rent,Education,Yes
L200278,41,3603,1986,667.0,9.0,30.3,9,Own,House,No
L200279,36,5142,3792,673.0,11.0,24.6,11,Mortgage,Car,No
L200280,41,3846,3650,694.0,13.0,28.9,10,Own,House,No
L200281,47,6186,1934,556.0,0.0,23.1,11,Rent,Business,Yes
L200282,56,6848,6787,604.0,11.0,39.9,9,Own,Business,No
L200283,28,6079,1376,690.0,15.0,17.6,1,Mortgage,House,No
L200284,61,7914,5090,712.0,17.0,25.2,4,Mortgage,Personal,Yes
L200285,20,5748,4526,642.0,2.0,49.1,5,Mortgage,House,Yes
L200286,38,2810,3251,560.0,7.0,55.7,2,Own,Business,Yes
L200287,46,7454,5769,684.0,8.0,29.7,11,Rent,Car,No
L200288,43,3911,1403,664.0,11.0,14.5,9,Rent,Business,No
L200289,34,6639,4764,586.0,7.0,28.9,9,Rent,Education,Yes
L200290,38,7833,4667,521.0,,14.7,9,Rent,Education,Yes
L200291,35,5822,3955,700.0,9.0,23.3,8,Mortgage,Car,No
L200292,34,2307,916,617.0,6.0,11.4,6,Own,Education,Yes
L200293,48,3347,2346,673.0,11.0,29.9,1,Rent,Personal,No
L200294,44,7381,2584,670.0,4.0,7.5,10,Rent,Personal,Yes
L200295,33,4696,4433,580.0,3.0,36.6,5,Rent,Car,Yes
L200296,49,5143,4083,689.0,15.0,28.8,8,Own,House,No
L200297,43,6366,1773,600.0,19.0,11.7,4,Own,Car,No
L200298,48,6253,6813,555.0,17.0,55.3,8,Rent,Car,Yes
L200299,46,5502,4492,546.0,8.0,41.4,6,Mortgage,Car,Yes
L200300,32,4624,2386,660.0,13.0,10.2,1,Mortgage,House,No
L200301,34,4437,1090,772.0,5.0,9.4,1,Own,Personal,No
L200302,47,6544,5446,663.0,11.0,30.9,3,Own,Education,Yes
L200303,46,5996,3438,785.0,5.0,17.8,1,Rent,Personal,No
L200304,40,4537,5025,,14.0,61.5,4,Rent,Personal,No
L200305,41,6948,1632,696.0,14.0,5.2,3,Mortgage,Business,No
L200306,53,4768,1140,770.0,18.0,5.9,7,Rent,Education,No
L200307,34,3467,3985,762.0,7.0,60.0,11,Rent,Personal,Yes
L200308,45,3634,4233,743.0,16.0,54.3,9,Rent,Education,No
L200309,38,3238,737,528.0,11.0,5.6,7,Own,Education,No
L200310,38,4510,4131,643.0,8.0,42.7,11,Rent,Personal,Yes
L200311,51,7221,3044,611.0,10.0,14.9,5,Rent,Car,No
L200312,48,3551,3201,742.0,16.0,34.7,1,Mortgage,Business,No
L200313,48,5339,5706,638.0,7.0,36.3,5,Own,Car,No
L200314,53,3818,1149,783.0,8.0,5.0,1,Rent,Personal,No
L200315,40,4531,1988,667.0,0.0,6.2,6,Mortgage,Personal,No
L200316,47,2282,511,658.0,7.0,5.0,8,Rent,Education,No
L200317,37,4603,1122,633.0,9.0,13.1,7,Mortgage,Business,No
L200318,43,4651,1068,647.0,4.0,10.4,1,Rent,Personal,No
L200319,39,5973,5977,679.0,3.0,48.7,8,Mortgage,Education,Yes
L200320,41,5402,2692,655.0,,10.3,9,Rent,Personal,No
L200321,46,2843,1971,627.0,5.0,42.0,10,Own,Education,No
L200322,32,6952,6867,632.0,15.0,53.1,2,Mortgage,Personal,Yes
L200323,61,5379,3738,787.0,1.0,28.1,1,Mortgage,Business,No
L200324,30,5357,3371,800.0,12.0,19.7,6,Rent,Education,No
L200325,28,4983,1054,627.0,12.0,5.0,4,Rent,Car,No
L200326,52,4068,3124,719.0,20.0,32.3,7,Mortgage,House,No
L200327,48,5392,1751,602.0,13.0,28.1,3,Own,Personal,No
L200328,46,5856,5649,637.0,13.0,37.8,3,Rent,Education,No
L200329,46,1856,850,584.0,10.0,5.7,8,Own,Education,No
L200330,40,4030,3523,731.0,8.0,50.1,7,Own,Education,Yes
L200331,31,4541,3843,,12.0,30.6,5,Rent,House,Yes
L200332,41,5461,4460,707.0,14.0,44.3,3,Mortgage,Education,No
L200333,33,7148,3338,722.0,9.0,23.7,1,Mortgage,House,No
L200334,50,3611,1687,599.0,14.0,17.5,11,Mortgage,Personal,No
L200335,39,4104,4363,637.0,22.0,50.3,3,Own,Education,Yes
L200336,32,4077,868,691.0,8.0,5.0,9,Rent,Personal,No
L200337,37,3557,1357,636.0,8.0,12.9,1,Own,Business,No
L200338,44,4375,3544,665.0,8.0,28.2,5,Own,Car,No
L200339,34,6387,6496,604.0,9.0,39.1,4,Own,Personal,Yes
L200340,32,3103,1733,753.0,14.0,26.7,11,Own,Car,No
L200341,42,5770,4924,726.0,8.0,38.5,6,Rent,Education,Yes
L200342,42,1937,1467,747.0,9.0,17.9,2,Own,Car,No
L200343,35,3990,1056,706.0,7.0,6.3,4,Rent,Education,No
L200344,35,4407,3621,583.0,10.0,30.0,9,Mortgage,House,No
L200345,42,8015,8126,626.0,5.0,45.2,11,Mortgage,Personal,Yes
L200346,26,4505,5372,611.0,2.0,36.5,5,Mortgage,Personal,No
L200347,26,1500,344,642.0,10.0,14.8,8,Mortgage,Business,No
L200348,33,1500,1290,734.0,18.0,25.4,2,Rent,House,No
L200349,38,44093,20000,557.0,7.0,20.1,11,Rent,Business,Yes
L200350,43,6105,1281,619.0,3.0,17.3,9,Mortgage,Personal,No
L200351,55,5676,4622,632.0,18.0,22.8,7,Own,House,No
L200352,49,5302,1710,568.0,8.0,14.8,7,Mortgage,Car,No
L200353,38,7092,4103,674.0,13.0,21.7,2,Rent,Car,No
L200354,40,4029,1859,636.0,4.0,10.6,8,Own,Education,No
L200355,30,6611,3710,738.0,8.0,12.6,9,Rent,Personal,No
L200356,40,2062,1428,641.0,15.0,22.0,10,Rent,Business,No
L200357,37,3371,1885,692.0,9.0,15.9,11,Rent,Education,No
L200358,43,1747,1315,668.0,9.0,28.5,5,Own,Personal,No
L200359,32,4505,1976,486.0,1.0,14.1,3,Rent,Business,No
L200360,45,4917,4107,560.0,12.0,36.8,3,Rent,Business,Yes
L200361,55,5205,5485,687.0,4.0,48.6,6,Mortgage,Car,No
L200362,39,5111,2167,684.0,14.0,5.0,1,Mortgage,House,No
L200363,44,3330,2357,655.0,9.0,26.3,10,Mortgage,House,No
L200364,47,4658,3953,753.0,9.0,26.3,11,,Personal,No
L200365,36,2305,1762,696.0,12.0,21.9,9,Rent,Personal,No
L200366,42,7454,4216,770.0,10.0,10.1,6,Rent,House,No
L200367,40,4453,3750,488.0,17.0,20.5,9,Rent,Car,Yes
L200368,41,4120,940,781.0,16.0,5.0,3,Own,Personal,No
L200369,32,7860,4479,617.0,2.0,25.9,10,Rent,House,Yes
L200370,40,2764,2025,662.0,7.0,32.4,3,Rent,Car,Yes
L200371,45,2974,656,743.0,12.0,5.0,10,Rent,Car,No
L200372,55,3027,2142,512.0,3.0,19.1,7,Own,Car,No
L200373,50,36302,20000,642.0,0.0,24.0,7,Rent,Education,Yes
L200374,62,5777,5541,731.0,4.0,34.9,4,Mortgage,House,No
L200375,32,6331,1984,617.0,7.0,19.7,11,Rent,Business,Yes
L200376,49,9630,11465,724.0,0.0,38.7,8,Mortgage,Personal,Yes
L200377,42,1500,1209,707.0,2.0,17.4,11,Rent,Car,No
L200378,62,6096,3433,672.0,0.0,27.4,2,Mortgage,House,No
L200379,32,3997,1795,702.0,14.0,5.0,1,Own,House,No
L200380,32,3944,3048,751.0,13.0,19.3,1,Own,Education,No
L200381,34,3884,4201,702.0,9.0,37.9,2,Rent,Business,No
L200382,20,3364,2424,725.0,9.0,26.5,11,Mortgage,House,No
L200383,35,8032,6919,598.0,11.0,39.3,11,Rent,Car,Yes
L200384,32,6516,3634,701.0,3.0,14.2,6,Rent,Personal,No
L200385,42,5042,2965,694.0,14.0,34.1,8,Own,Personal,No
L200386,43,7432,3613,739.0,8.0,7.3,3,Rent,House,No
L200387,59,2277,2062,579.0,13.0,33.2,6,Rent,Car,Yes
L200388,50,2605,1457,735.0,12.0,29.0,8,Mortgage,Education,No
